#{"coordinateSystem":"2d","timestamp":1764993679885,"calibrationWidth":1470,"calibrationHeight":839}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
36243.000,0.000,735.000,293.650,740.106,582.034,-37.054,658.194,503.693,6.956,823.298,496.485,0.943,740.106,582.034,-37.054,706.020,622.682,11.451,784.146,621.650,7.999,747.447,685.829,28.593,658.194,503.693,6.956,823.298,496.485,0.943
36262.000,0.000,1428.050,293.650,724.124,539.817,-40.104,643.926,473.001,17.311,813.593,463.466,6.612,724.124,539.817,-40.104,690.656,594.764,4.579,773.847,592.995,-1.842,733.813,660.070,9.592,643.926,473.001,17.311,813.593,463.466,6.612
36263.000,0.000,41.950,41.950,724.124,539.817,-40.104,643.926,473.001,17.311,813.593,463.466,6.612,724.124,539.817,-40.104,690.656,594.764,4.579,773.847,592.995,-1.842,733.813,660.070,9.592,643.926,473.001,17.311,813.593,463.466,6.612
36279.000,0.000,735.000,797.050,722.561,542.350,-39.258,645.095,471.734,17.296,813.376,462.837,6.561,722.561,542.350,-39.258,690.587,594.174,4.078,771.866,592.970,-2.245,733.855,658.165,10.190,645.095,471.734,17.296,813.376,462.837,6.561
36280.000,0.000,1081.525,41.950,722.561,542.350,-39.258,645.095,471.734,17.296,813.376,462.837,6.561,722.561,542.350,-39.258,690.587,594.174,4.078,771.866,592.970,-2.245,733.855,658.165,10.190,645.095,471.734,17.296,813.376,462.837,6.561
36292.000,0.000,388.475,545.350,722.837,540.502,-39.086,645.580,471.898,16.958,812.966,462.765,6.439,722.837,540.502,-39.086,690.822,594.196,4.266,771.853,592.179,-2.037,733.924,658.514,10.714,645.580,471.898,16.958,812.966,462.765,6.439
36293.000,0.000,1428.050,41.950,722.837,540.502,-39.086,645.580,471.898,16.958,812.966,462.765,6.439,722.837,540.502,-39.086,690.822,594.196,4.266,771.853,592.179,-2.037,733.924,658.514,10.714,645.580,471.898,16.958,812.966,462.765,6.439
36307.000,0.000,41.950,293.650,723.134,541.160,-39.038,644.883,472.095,16.433,812.080,463.827,6.560,723.134,541.160,-39.038,690.617,594.910,4.305,772.459,592.722,-1.625,734.270,658.600,11.112,644.883,472.095,16.433,812.080,463.827,6.560
36322.000,0.000,41.950,797.050,723.452,541.063,-39.062,644.931,472.048,16.569,812.577,463.473,6.792,723.452,541.063,-39.062,690.603,594.839,4.017,772.153,592.795,-1.839,734.433,658.891,10.711,644.931,472.048,16.569,812.577,463.473,6.792
36892.000,0.000,1428.050,797.050,726.513,544.842,-39.034,647.975,472.373,14.668,813.187,465.214,5.040,726.513,544.842,-39.034,692.073,595.137,7.257,779.639,588.011,1.465,737.359,661.921,13.562,647.975,472.373,14.668,813.187,465.214,5.040
39892.000,0.000,1428.050,545.350,553.065,669.122,-27.673,491.363,589.161,30.511,620.871,554.318,-33.807,553.065,669.122,-27.673,580.344,693.113,31.175,635.299,676.934,-6.249,642.473,733.738,33.670,491.363,589.161,30.511,620.871,554.318,-33.807
41492.000,0.000,388.475,797.050,784.735,736.688,-25.014,694.528,628.299,-28.602,860.133,621.919,-11.284,784.735,736.688,-25.014,726.059,746.165,28.439,797.870,748.372,38.347,756.492,785.202,79.100,694.528,628.299,-28.602,860.133,621.919,-11.284
43676.000,0.000,41.950,545.350,838.328,647.043,-31.341,737.896,557.813,-27.436,901.531,541.785,4.980,838.328,647.043,-31.341,772.555,667.576,16.808,846.339,662.658,35.955,805.994,717.388,60.761,737.896,557.813,-27.436,901.531,541.785,4.980
44942.000,0.000,1081.525,797.050,664.301,683.657,-30.045,583.660,588.156,-0.846,748.569,578.004,-26.578,664.301,683.657,-30.045,650.066,694.499,35.972,724.323,686.148,20.736,699.349,734.989,66.980,583.660,588.156,-0.846,748.569,578.004,-26.578
46176.000,0.000,388.475,41.950,771.195,566.933,-38.055,675.332,489.599,1.704,842.733,480.948,14.206,771.195,566.933,-38.055,722.558,614.425,1.226,803.500,610.030,8.630,763.318,675.268,19.227,675.332,489.599,1.704,842.733,480.948,14.206
47325.000,0.000,735.000,41.950,733.046,568.166,-37.962,644.673,491.590,6.657,814.826,483.809,7.947,733.046,568.166,-37.962,692.464,614.664,5.304,772.821,610.554,6.047,733.558,673.229,20.743,644.673,491.590,6.657,814.826,483.809,7.947
48410.000,0.000,388.475,293.650,792.253,617.949,-33.908,699.504,521.970,-12.446,866.333,524.852,7.312,792.253,617.949,-33.908,734.360,643.930,10.039,809.301,643.118,21.734,765.895,700.714,41.878,699.504,521.970,-12.446,866.333,524.852,7.312
49558.000,0.000,1081.525,293.650,657.141,603.740,-34.782,589.124,519.331,14.516,752.090,513.431,-11.564,657.141,603.740,-34.782,641.092,636.748,19.175,717.141,636.081,3.458,685.767,692.342,33.284,589.124,519.331,14.516,752.090,513.431,-11.564
50926.000,0.000,735.000,545.350,717.483,620.716,-34.937,633.937,532.154,-0.068,804.541,527.416,-5.533,717.483,620.716,-34.937,685.229,649.738,18.226,761.104,646.923,14.737,724.114,701.167,44.007,633.937,532.154,-0.068,804.541,527.416,-5.533
52491.000,0.000,1081.525,545.350,660.865,644.172,-32.057,584.736,557.871,4.558,747.561,547.659,-19.349,660.865,644.172,-32.057,644.743,666.044,28.402,719.932,662.269,14.149,691.333,713.272,52.920,584.736,557.871,4.558,747.561,547.659,-19.349
