GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,83.9,209.75,0,0,15.5190,243.98,735.00,419.50,978.97,421.94,944.75,419.50,191335.00,191888.00,207407.00
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,83.9,209.75,180,1,3.2330,427.80,944.75,419.50,516.95,419.22,735.00,419.50,207908.00,208789.00,212022.00
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,83.9,209.75,45,2,9.6510,374.92,525.25,419.50,865.58,576.81,673.57,567.82,212523.00,212972.00,222623.00
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,83.9,209.75,225,3,40.3660,384.85,883.32,567.82,602.07,305.11,735.00,419.50,223124.00,223139.00,263505.00
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,83.9,209.75,90,4,6.7200,387.72,586.68,271.18,732.06,630.62,586.68,480.93,264007.00,264008.00,270728.00
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,83.9,209.75,270,5,61.9310,431.26,735.00,629.25,732.30,198.00,735.00,419.50,271239.00,271689.00,333620.00
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,83.9,209.75,135,6,10.0650,390.82,735.00,209.75,558.97,558.68,586.68,358.07,334122.00,334122.00,344187.00
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,83.9,209.75,315,7,12.0670,449.30,586.68,567.82,894.14,240.19,735.00,419.50,344687.00,345837.00,357904.00
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,83.9,276.87,0,0,6.2670,271.08,735.00,419.50,1005.76,432.75,1011.87,419.50,368070.00,369170.00,375437.00
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,83.9,276.87,180,1,9.8660,547.03,1011.87,419.50,464.92,428.65,735.00,419.50,375938.00,376805.00,386671.00
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,83.9,276.87,45,2,3.5180,518.47,458.13,419.50,928.85,636.83,653.91,615.28,387173.00,387303.00,390821.00
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,83.9,276.87,225,3,88.8170,518.75,930.78,615.28,572.14,240.47,735.00,419.50,391321.00,392071.00,480888.00
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,83.9,276.87,90,4,12.9160,544.29,539.22,223.72,763.72,719.56,539.22,500.59,481389.00,482119.00,495035.00
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,83.9,276.87,270,5,25.1490,568.51,735.00,696.37,696.80,129.14,735.00,419.50,495535.00,495536.00,520685.00
15,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,6,83.9,276.87,135,6,11.8150,519.64,735.00,142.63,528.25,619.37,539.22,338.41,521187.00,522387.00,534202.00
16,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,7,83.9,276.87,315,7,29.3000,537.53,539.22,615.28,936.66,253.37,735.00,419.50,534704.00,535035.00,564335.00
17,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,0,113.265,209.75,0,0,10.1480,203.39,735.00,419.50,934.99,382.46,944.75,419.50,577274.00,578686.00,588834.00
18,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,1,113.265,209.75,180,1,3.6400,440.59,944.75,419.50,504.23,411.39,735.00,419.50,589336.00,589353.00,592993.00
19,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,2,113.265,209.75,45,2,4.4140,377.14,525.25,419.50,884.97,532.78,673.57,567.82,593503.00,593970.00,598384.00
20,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,3,113.265,209.75,225,3,4.7000,439.20,883.32,567.82,588.36,242.40,735.00,419.50,598885.00,599184.00,603884.00
21,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,4,113.265,209.75,90,4,4.0850,376.14,586.68,271.18,705.32,628.13,586.68,480.93,604384.00,604951.00,609036.00
22,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,5,113.265,209.75,270,5,23.9330,448.87,735.00,629.25,743.75,180.46,735.00,419.50,609537.00,610334.00,634267.00
23,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,6,113.265,209.75,135,6,8.8170,365.92,735.00,209.75,586.59,544.22,586.68,358.07,634768.00,635750.00,644567.00
24,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,7,113.265,209.75,315,7,13.0340,462.08,586.68,567.82,929.13,257.57,735.00,419.50,645068.00,645967.00,659001.00
25,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,0,113.265,276.87,0,0,4.5980,300.45,735.00,419.50,1034.67,441.01,1011.87,419.50,672817.00,673752.00,678350.00
26,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,1,113.265,276.87,180,1,5.5850,522.03,1011.87,419.50,489.96,430.75,735.00,419.50,678851.00,679467.00,685052.00
27,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,2,113.265,276.87,45,2,3.7590,507.27,458.13,419.50,933.82,595.69,653.91,615.28,685552.00,687017.00,690776.00
28,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,3,113.265,276.87,225,3,4.8830,545.36,930.78,615.28,578.95,198.59,735.00,419.50,691284.00,692101.00,696984.00
29,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,4,113.265,276.87,90,4,9.8820,496.07,539.22,223.72,747.32,674.03,539.22,500.59,697485.00,698201.00,708083.00
30,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,5,113.265,276.87,270,5,16.4320,577.29,735.00,696.37,763.80,119.80,735.00,419.50,708587.00,709185.00,725617.00
31,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,6,113.265,276.87,135,6,11.7010,491.59,735.00,142.63,559.79,601.93,539.22,338.41,726118.00,726134.00,737835.00
