#{"coordinateSystem":"2d","timestamp":1764726002505,"calibrationWidth":1440,"calibrationHeight":771}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
52550.100,0.000,720.000,269.850,681.395,394.012,-36.864,600.920,356.179,19.444,749.392,350.119,21.889,681.395,394.012,-36.864,648.036,452.686,-9.910,720.574,447.667,-8.414,689.677,519.967,-17.397,600.920,356.179,19.444,749.392,350.119,21.889
53757.100,0.000,1401.450,269.850,633.281,395.703,-36.065,573.422,360.027,32.232,718.427,350.353,9.484,633.281,395.703,-36.065,612.513,456.881,-2.675,686.053,450.768,-16.890,651.332,525.072,-18.506,573.422,360.027,32.232,718.427,350.353,9.484
55163.900,0.000,38.550,38.550,718.231,381.953,-35.796,629.407,343.944,12.715,773.796,343.009,31.979,718.231,381.953,-35.796,677.234,441.742,-17.322,748.635,439.112,-5.262,719.798,508.862,-23.374,629.407,343.944,12.715,773.796,343.009,31.979
56676.400,0.000,720.000,732.450,688.061,414.431,-37.844,605.404,370.952,15.268,756.077,363.329,18.830,688.061,414.431,-37.844,654.384,469.776,-5.842,726.679,465.368,-3.534,695.379,534.426,-6.609,605.404,370.952,15.268,756.077,363.329,18.830
58245.900,0.000,1060.725,38.550,660.841,379.114,-37.353,589.641,347.815,27.911,738.417,338.979,18.573,660.841,379.114,-37.353,634.196,444.591,-8.744,707.847,438.190,-14.879,676.862,512.185,-24.171,589.641,347.815,27.911,738.417,338.979,18.573
59418.600,0.000,379.275,501.150,713.076,404.372,-37.160,625.110,359.803,11.457,773.301,357.276,25.525,713.076,404.372,-37.160,673.127,460.774,-10.641,745.010,457.775,-1.893,714.003,527.421,-11.739,625.110,359.803,11.457,773.301,357.276,25.525
60822.700,0.000,1401.450,38.550,635.937,384.683,-36.027,577.288,351.122,34.097,722.378,339.849,10.913,635.937,384.683,-36.027,615.665,448.353,-4.442,690.641,442.520,-18.919,656.154,517.574,-22.849,577.288,351.122,34.097,722.378,339.849,10.913
62132.600,0.000,38.550,269.850,728.054,390.114,-36.423,634.943,349.831,9.895,780.940,347.761,32.465,728.054,390.114,-36.423,686.085,448.881,-16.827,756.947,445.930,-2.787,727.545,516.823,-19.424,634.943,349.831,9.895,780.940,347.761,32.465
63082.500,0.000,38.550,732.450,732.475,421.099,-37.204,640.408,373.321,4.607,787.035,370.863,25.965,732.475,421.099,-37.204,690.185,476.632,-9.742,758.950,472.787,3.074,727.756,540.557,-1.570,640.408,373.321,4.607,787.035,370.863,25.965
64302.300,0.000,1401.450,732.450,636.686,422.598,-36.556,575.623,376.179,29.349,722.758,364.898,3.403,636.686,422.598,-36.556,618.090,477.383,3.559,690.647,471.492,-12.122,659.990,545.752,-6.362,575.623,376.179,29.349,722.758,364.898,3.403
65566.200,0.000,1401.450,501.150,631.988,406.115,-37.315,573.059,365.389,32.042,720.349,353.704,6.758,631.988,406.115,-37.315,614.008,466.540,0.079,688.111,459.281,-15.341,653.779,535.620,-13.122,573.059,365.389,32.042,720.349,353.704,6.758
66934.500,0.000,379.275,732.450,706.765,421.060,-38.018,619.478,372.408,11.101,771.153,365.867,20.669,706.765,421.060,-38.018,668.947,474.559,-6.288,741.448,470.020,-0.467,709.512,538.578,-3.237,619.478,372.408,11.101,771.153,365.867,20.669
68374.400,0.000,38.550,501.150,727.673,404.275,-37.532,634.153,361.489,8.316,782.473,355.741,28.114,727.673,404.275,-37.532,686.825,463.481,-12.085,758.700,458.721,0.033,729.528,528.557,-10.195,634.153,361.489,8.316,782.473,355.741,28.114
69811.200,0.000,1060.725,732.450,670.472,413.960,-38.658,593.484,372.492,21.042,746.408,362.408,14.110,670.472,413.960,-38.658,641.924,474.298,-2.803,717.649,468.919,-7.067,683.244,539.711,-7.366,593.484,372.492,21.042,746.408,362.408,14.110
70995.200,0.000,379.275,38.550,708.357,388.052,-37.423,621.687,347.577,16.243,771.706,342.934,26.315,708.357,388.052,-37.423,670.532,447.815,-12.796,743.706,444.713,-6.509,712.157,517.081,-18.432,621.687,347.577,16.243,771.706,342.934,26.315
71798.100,0.000,720.000,38.550,698.474,388.248,-37.458,614.804,349.123,19.090,765.115,343.830,23.993,698.474,388.248,-37.458,661.392,448.593,-11.315,735.899,444.689,-8.252,705.044,517.999,-19.463,614.804,349.123,19.090,765.115,343.830,23.993
72883.100,0.000,379.275,269.850,707.967,399.388,-37.445,621.459,356.101,14.723,771.476,351.066,24.902,707.967,399.388,-37.445,671.083,456.273,-10.984,743.396,453.078,-4.701,712.730,523.375,-14.781,621.459,356.101,14.723,771.476,351.066,24.902
74090.900,0.000,1060.725,269.850,667.244,397.604,-37.891,593.454,358.621,25.182,745.748,350.298,14.572,667.244,397.604,-37.891,639.931,458.767,-4.478,714.050,454.076,-11.178,681.927,527.100,-14.303,593.454,358.621,25.182,745.748,350.298,14.572
75281.900,0.000,720.000,501.150,686.816,409.288,-38.221,604.273,366.613,17.386,757.382,359.276,18.190,686.816,409.288,-38.221,652.495,468.409,-5.579,727.904,463.453,-4.877,695.494,533.099,-8.413,604.273,366.613,17.386,757.382,359.276,18.190
76343.000,0.000,1060.725,501.150,665.179,409.067,-38.134,590.602,367.335,23.495,744.018,358.174,12.872,665.179,409.067,-38.134,638.366,467.938,-2.682,711.317,463.058,-9.227,678.912,536.486,-9.451,590.602,367.335,23.495,744.018,358.174,12.872
