GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,77.10000000000001,192.75,0,0,6.3203,201.37,720.00,385.50,921.16,376.14,912.75,385.50,140802.90,142741.00,149061.30
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,77.10000000000001,192.75,180,1,3.3281,380.50,912.75,385.50,532.81,406.15,720.00,385.50,149576.30,150405.30,153733.40
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,77.10000000000001,192.75,45,2,2.8506,386.23,527.25,385.50,882.66,536.68,663.54,521.79,154246.10,155109.30,157959.90
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,77.10000000000001,192.75,225,3,5.1189,391.83,856.29,521.79,578.85,245.11,720.00,385.50,158481.80,158484.70,163603.60
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,77.10000000000001,192.75,90,4,3.2321,387.98,583.71,249.21,739.91,604.35,583.71,441.96,164122.10,165093.20,168325.30
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,77.10000000000001,192.75,270,5,3.7745,394.21,720.00,578.25,715.03,184.07,720.00,385.50,168839.30,169702.20,173476.70
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,77.10000000000001,192.75,135,6,2.9600,383.61,720.00,192.75,578.60,549.34,583.71,329.04,173991.00,174420.80,177380.80
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,77.10000000000001,192.75,315,7,3.7282,398.25,583.71,521.79,875.64,250.91,720.00,385.50,177895.60,177909.20,181637.40
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,77.10000000000001,254.43,0,0,2.1754,261.79,720.00,385.50,981.62,395.01,974.43,385.50,194791.50,195653.60,197829.00
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,77.10000000000001,254.43,180,1,3.4679,497.48,974.43,385.50,476.97,380.83,720.00,385.50,198360.00,198621.90,202089.80
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,77.10000000000001,254.43,45,2,4.5835,483.04,465.57,385.50,910.83,572.76,645.48,565.41,202605.30,203412.40,207995.90
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,77.10000000000001,254.43,225,3,5.1575,532.37,899.91,565.41,531.71,180.90,720.00,385.50,208508.70,208888.30,214045.80
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,77.10000000000001,254.43,90,4,3.9228,467.27,540.09,205.59,716.90,638.12,540.09,460.02,214557.10,215380.70,219303.50
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,77.10000000000001,254.43,270,5,4.9441,522.96,720.00,639.93,723.25,116.98,720.00,385.50,219818.30,219973.10,224917.20
