GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,77.10000000000001,192.75,0,0,2.9462,207.07,731.50,385.50,938.46,392.39,924.25,385.50,135278.80,136498.80,139445.00
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,77.10000000000001,192.75,180,1,9.6828,402.89,924.25,385.50,521.64,370.30,731.50,385.50,139951.50,139979.10,149661.90
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,77.10000000000001,192.75,45,2,23.3994,364.99,538.75,385.50,876.40,524.09,675.04,521.79,150165.00,152095.70,175495.10
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,77.10000000000001,192.75,225,3,5.4716,381.42,867.79,521.79,589.80,260.65,731.50,385.50,175999.40,178046.40,183518.00
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,77.10000000000001,192.75,90,4,7.0850,359.98,595.21,249.21,738.58,579.40,595.21,441.96,184020.70,187327.10,194412.10
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,77.10000000000001,192.75,270,5,6.1998,386.16,731.50,578.25,729.59,192.10,731.50,385.50,194916.10,196312.20,202512.00
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,77.10000000000001,192.75,135,6,8.8699,336.64,731.50,192.75,601.15,503.13,595.21,329.04,203015.20,203544.30,212414.20
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,77.10000000000001,192.75,315,7,6.6934,374.17,595.21,521.79,852.53,250.15,731.50,385.50,212930.30,213870.00,220563.40
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,77.10000000000001,254.43,0,0,4.9335,268.42,731.50,385.50,999.67,373.87,985.93,385.50,242496.10,244379.60,249313.10
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,77.10000000000001,254.43,180,1,6.6679,523.59,985.93,385.50,463.30,353.82,731.50,385.50,249817.40,251911.80,258579.70
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,77.10000000000001,254.43,45,2,13.0002,468.42,477.07,385.50,908.16,568.75,656.98,565.41,259088.20,259111.80,272112.00
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,77.10000000000001,254.43,225,3,8.8821,497.49,911.41,565.41,555.13,218.20,731.50,385.50,272616.00,274030.00,282912.10
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,77.10000000000001,254.43,90,4,9.9718,452.90,551.59,205.59,732.43,620.83,551.59,460.02,283416.30,285962.60,295934.40
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,77.10000000000001,254.43,270,5,8.9279,496.44,731.50,639.93,721.19,143.60,731.50,385.50,296436.80,297434.50,306362.40
15,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,6,77.10000000000001,254.43,135,6,8.8461,470.68,731.50,131.07,548.50,564.72,551.59,310.98,306864.70,308913.30,317759.40
