#{"coordinateSystem":"2d","timestamp":1764801980134,"calibrationWidth":1463,"calibrationHeight":771}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
22066.300,0.000,731.500,269.850,742.159,506.248,-43.485,648.109,441.144,19.903,833.064,441.247,16.743,742.159,506.248,-43.485,698.122,566.531,-2.931,790.277,564.865,-4.533,743.246,642.182,-4.424,648.109,441.144,19.903,833.064,441.247,16.743
25279.300,0.000,1424.450,269.850,638.166,514.732,-44.047,546.886,471.527,30.801,718.012,416.501,3.732,638.166,514.732,-44.047,626.261,580.706,6.953,719.783,552.089,-9.324,700.047,648.162,-2.873,546.886,471.527,30.801,718.012,416.501,3.732
27664.700,0.000,38.550,38.550,876.983,476.407,-42.507,781.614,399.555,13.449,952.699,432.656,31.385,876.983,476.407,-42.507,800.307,527.464,-13.247,898.518,545.865,-1.479,841.447,619.639,-18.912,781.614,399.555,13.449,952.699,432.656,31.385
29700.500,0.000,731.500,732.450,760.014,559.233,-43.068,661.938,468.683,9.318,856.657,466.812,2.714,760.014,559.233,-43.068,714.460,597.703,12.989,812.907,595.535,9.165,767.012,677.234,26.311,661.938,468.683,9.318,856.657,466.812,2.714
31397.800,0.000,1077.975,38.550,638.104,505.674,-43.460,551.904,462.765,32.765,725.962,410.666,5.606,638.104,505.674,-43.460,620.288,568.375,4.127,711.402,546.860,-12.273,688.848,638.149,-8.156,551.904,462.765,32.765,725.962,410.666,5.606
33789.000,0.000,385.025,501.150,843.478,517.960,-43.159,754.442,427.480,12.065,934.479,460.451,19.367,843.478,517.960,-43.159,775.013,558.493,-1.811,870.801,577.137,3.467,808.008,647.686,-1.096,754.442,427.480,12.065,934.479,460.451,19.367
36148.900,0.000,1424.450,38.550,615.323,502.488,-41.442,550.867,453.983,41.358,718.740,418.085,0.938,615.323,502.488,-41.442,605.161,564.827,3.607,682.490,555.581,-20.206,660.799,639.821,-13.013,550.867,453.983,41.358,718.740,418.085,0.938
39481.000,0.000,38.550,269.850,915.384,528.084,-40.047,815.431,432.819,5.809,981.905,479.041,27.777,915.384,528.084,-40.047,831.018,567.523,-9.423,919.343,589.160,5.209,860.974,658.428,-6.078,815.431,432.819,5.809,981.905,479.041,27.777
41180.300,0.000,38.550,732.450,930.027,563.879,-39.612,823.567,445.956,-2.341,997.069,512.921,25.248,930.027,563.879,-39.612,838.561,594.375,-4.892,920.177,619.085,12.631,853.603,681.185,8.767,823.567,445.956,-2.341,997.069,512.921,25.248
45079.100,0.000,1424.450,732.450,558.044,566.742,-41.920,481.294,517.608,38.323,640.230,456.278,-9.779,558.044,566.742,-41.920,563.097,622.682,14.254,642.573,595.117,-14.113,637.435,682.301,5.697,481.294,517.608,38.323,640.230,456.278,-9.779
46349.000,0.000,1424.450,501.150,539.418,554.150,-41.469,473.826,510.997,43.711,626.421,446.252,-9.473,539.418,554.150,-41.469,552.544,616.091,12.184,628.805,585.616,-19.315,625.934,674.728,-1.603,473.826,510.997,43.711,626.421,446.252,-9.473
49526.600,0.000,385.025,732.450,867.669,562.301,-43.260,767.398,458.804,-8.905,941.572,497.539,33.452,867.669,562.301,-43.260,787.467,600.947,-9.141,874.466,614.348,16.518,810.570,681.161,11.398,767.398,458.804,-8.905,941.572,497.539,33.452
51650.000,0.000,38.550,501.150,992.396,548.514,-41.146,888.581,439.349,-16.815,1038.148,494.251,48.139,992.396,548.514,-41.146,900.881,586.609,-19.412,982.719,602.897,20.384,915.210,676.840,-2.777,888.581,439.349,-16.815,1038.148,494.251,48.139
53727.800,0.000,1077.975,732.450,656.427,568.832,-44.259,561.293,505.813,21.118,741.058,465.241,-3.341,656.427,568.832,-44.259,639.016,620.777,16.391,734.972,598.729,1.480,706.641,695.306,19.889,561.293,505.813,21.118,741.058,465.241,-3.341
55983.700,0.000,385.025,38.550,852.829,453.381,-44.316,738.859,392.928,7.676,918.294,409.630,41.156,852.829,453.381,-44.316,785.144,516.566,-19.187,881.244,522.386,1.621,832.143,603.519,-21.591,738.859,392.928,7.676,918.294,409.630,41.156
57052.900,0.000,731.500,38.550,731.605,471.902,-43.849,641.209,424.127,26.651,823.133,406.403,17.496,731.605,471.902,-43.849,696.342,543.267,-4.611,790.625,532.738,-10.360,750.600,615.763,-14.693,641.209,424.127,26.651,823.133,406.403,17.496
58712.400,0.000,385.025,269.850,818.200,523.766,-44.650,710.661,440.409,3.399,897.817,448.607,24.877,818.200,523.766,-44.650,756.954,575.892,-4.535,850.542,576.701,8.074,799.956,652.896,8.004,710.661,440.409,3.399,897.817,448.607,24.877
60427.200,0.000,1077.975,269.850,643.393,540.384,-43.216,552.419,493.290,30.112,722.424,435.027,0.703,643.393,540.384,-43.216,634.686,604.343,8.250,720.290,575.168,-9.049,705.781,662.341,3.175,552.419,493.290,30.112,722.424,435.027,0.703
62250.800,0.000,731.500,501.150,737.048,564.050,-44.028,635.107,483.111,10.993,827.733,467.344,5.733,737.048,564.050,-44.028,696.938,612.502,8.750,792.143,604.558,5.684,750.387,682.045,24.097,635.107,483.111,10.993,827.733,467.344,5.733
64061.700,0.000,1077.975,501.150,648.735,548.519,-43.169,558.560,492.452,29.071,734.002,445.940,-0.726,648.735,548.519,-43.169,633.274,607.829,9.650,721.655,586.486,-8.036,701.731,669.774,6.728,558.560,492.452,29.071,734.002,445.940,-0.726
