#{"coordinateSystem":"2d","timestamp":1765084209866,"calibrationWidth":1600,"calibrationHeight":932}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
111645.700,0.000,800.000,326.200,833.513,593.159,-39.316,743.069,508.754,10.175,916.727,514.001,13.717,833.513,593.159,-39.316,785.197,641.125,1.954,878.992,641.334,4.433,831.489,727.870,6.593,743.069,508.754,10.175,916.727,514.001,13.717
117527.100,0.000,1553.400,326.200,793.618,593.343,-37.963,723.317,511.237,21.395,893.984,514.454,3.386,793.618,593.343,-37.963,759.939,641.013,7.083,851.090,644.016,-3.943,804.717,729.747,5.129,723.317,511.237,21.395,893.984,514.454,3.386
119193.500,0.000,46.600,46.600,883.732,583.179,-39.358,780.538,502.714,3.686,949.395,511.458,25.931,883.732,583.179,-39.358,823.349,637.375,-7.071,914.974,637.310,6.950,869.902,722.612,-1.014,780.538,502.714,3.686,949.395,511.458,25.931
120661.900,0.000,800.000,885.400,852.071,617.894,-39.101,758.816,525.743,5.095,934.201,536.707,12.869,852.071,617.894,-39.101,800.314,661.760,3.713,893.466,663.165,8.865,845.949,746.177,14.873,758.816,525.743,5.095,934.201,536.707,12.869
122011.100,0.000,1176.700,46.600,833.464,584.680,-39.259,749.333,501.486,14.771,923.189,513.307,13.554,833.464,584.680,-39.259,785.423,634.932,0.274,878.049,637.851,-0.177,828.682,722.206,1.686,749.333,501.486,14.771,923.189,513.307,13.554
123262.000,0.000,423.300,605.800,870.030,603.512,-39.461,773.650,516.182,3.283,943.336,528.001,19.037,870.030,603.512,-39.461,812.372,652.227,-0.850,906.839,654.627,9.149,858.071,737.794,8.946,773.650,516.182,3.283,943.336,528.001,19.037
125212.600,0.000,1553.400,46.600,809.163,571.951,-38.542,739.959,493.639,21.546,908.676,504.270,8.776,809.163,571.951,-38.542,767.711,623.556,3.068,862.093,628.628,-4.995,809.693,713.483,-2.669,739.959,493.639,21.546,908.676,504.270,8.776
126746.300,0.000,46.600,326.200,923.176,589.999,-38.150,806.774,505.753,-5.460,968.141,520.888,33.554,923.176,589.999,-38.150,849.825,642.345,-12.133,938.481,645.296,12.320,896.453,728.964,0.507,806.774,505.753,-5.460,968.141,520.888,33.554
127864.100,0.000,46.600,885.400,914.433,618.084,-38.138,803.888,525.574,-6.952,967.299,539.960,27.396,914.433,618.084,-38.138,841.869,663.115,-6.257,929.021,665.542,15.089,882.844,748.278,10.886,803.888,525.574,-6.952,967.299,539.960,27.396
129146.900,0.000,1553.400,885.400,814.886,620.946,-37.621,741.991,521.710,13.274,916.421,540.682,2.169,814.886,620.946,-37.621,775.014,659.494,10.332,866.749,669.244,3.709,814.422,747.957,16.795,741.991,521.710,13.274,916.421,540.682,2.169
