PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,93.2,233,8,7.8495,428.21,74.82,2.7491,0.3502
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,93.2,307.56,8,5.6636,549.24,62.60,3.2890,0.5807
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,125.82000000000001,233,8,3.7336,440.48,114.05,2.2816,0.6111
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,125.82000000000001,307.56,8,4.2413,570.98,80.35,3.0190,0.7118
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,158.44,233,8,2.7124,443.70,57.05,3.1338,1.1553
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,158.44,307.56,8,2.8798,584.11,128.92,2.4675,0.8568
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,93.2,233,8,4.9088,421.06,87.77,2.5354,0.5165
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,93.2,307.56,8,5.5546,560.91,68.87,3.1930,0.5748
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,125.82000000000001,233,8,4.2920,420.92,79.24,2.6580,0.6193
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,125.82000000000001,307.56,8,4.2045,539.35,107.49,2.5892,0.6158
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,158.44,233,8,2.4233,438.36,114.56,2.2710,0.9371
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,158.44,307.56,8,2.7528,557.95,142.41,2.2980,0.8348
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,93.2,233,8,4.5145,428.03,70.11,2.8289,0.6266
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,93.2,307.56,8,5.0598,549.49,56.15,3.4310,0.6781
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,125.82000000000001,233,8,3.0258,430.70,114.82,2.2482,0.7430
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,125.82000000000001,307.56,8,3.1680,542.22,93.55,2.7647,0.8727
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,158.44,233,8,2.7905,450.04,118.04,2.2668,0.8123
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,158.44,307.56,8,2.4100,549.86,121.16,2.4695,1.0247
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,93.2,233,8,3.8408,413.46,75.90,2.6888,0.7000
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,93.2,307.56,8,4.3144,565.65,65.32,3.2719,0.7584
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,125.82000000000001,233,8,3.0473,440.03,92.41,2.5265,0.8291
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,125.82000000000001,307.56,8,3.1618,543.70,59.55,3.3407,1.0566
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,158.44,233,8,2.0162,414.11,75.28,2.7007,1.3395
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,158.44,307.56,8,2.9371,580.56,121.03,2.5353,0.8632
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,93.2,233,8,4.0766,421.70,74.20,2.7405,0.6723
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,93.2,307.56,8,4.5935,540.54,56.78,3.3950,0.7391
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,125.82000000000001,233,8,2.8611,427.79,86.24,2.5754,0.9002
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,125.82000000000001,307.56,8,4.0579,549.31,70.13,3.1429,0.7745
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,158.44,233,8,2.4165,434.84,132.17,2.1009,0.8694
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,158.44,307.56,8,3.1586,552.31,113.96,2.5475,0.8065
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,93.2,233,8,4.1021,415.36,63.75,2.9099,0.7094
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,93.2,307.56,8,3.5798,555.14,65.89,3.2365,0.9041
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,125.82000000000001,233,8,2.6258,424.94,80.18,2.6553,1.0112
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,125.82000000000001,307.56,8,2.7673,569.37,58.34,3.4274,1.2385
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,158.44,233,8,2.5903,429.92,154.41,1.9200,0.7412
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,158.44,307.56,8,2.7202,555.30,122.18,2.4712,0.9085
