GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,93.2,233,0,0,16.3657,232.54,800.00,466.00,1032.49,461.24,1033.00,466.00,209132.90,210747.90,227113.60
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,93.2,233,180,1,3.8723,497.55,1033.00,466.00,535.89,445.22,800.00,466.00,227616.80,228414.10,232286.40
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,93.2,233,45,2,7.8971,437.89,567.00,466.00,974.97,625.09,731.76,630.76,232800.00,232804.00,240701.10
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,93.2,233,225,3,6.8956,470.42,964.76,630.76,619.20,311.56,800.00,466.00,241204.10,242132.20,249027.80
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,93.2,233,90,4,7.8966,413.83,635.24,301.24,817.82,672.62,635.24,534.24,249537.80,250330.70,258227.30
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,93.2,233,270,5,8.3444,447.64,800.00,699.00,811.04,251.49,800.00,466.00,258739.80,258755.80,267100.20
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,93.2,233,135,6,6.3673,447.92,800.00,233.00,638.62,650.83,635.24,397.76,267608.80,269059.70,275427.00
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,93.2,233,315,7,5.1568,477.88,635.24,630.76,973.30,292.99,800.00,466.00,275940.90,276595.90,281752.70
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,93.2,307.56,0,0,2.6021,304.91,800.00,466.00,1104.07,488.59,1107.56,466.00,316815.40,317640.50,320242.60
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,93.2,307.56,180,1,4.9140,638.15,1107.56,466.00,469.66,483.99,800.00,466.00,320795.20,321497.10,326411.10
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,93.2,307.56,45,2,5.9625,575.65,492.44,466.00,1020.14,696.01,709.92,683.48,326916.80,328000.80,333963.30
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,93.2,307.56,225,3,8.2549,591.73,1017.48,683.48,574.52,291.13,800.00,466.00,334478.70,335295.20,343550.10
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,93.2,307.56,90,4,5.9724,578.30,582.52,248.52,799.51,784.57,582.52,556.08,344106.20,344106.40,350078.80
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,93.2,307.56,270,5,7.4581,587.56,800.00,773.56,824.72,186.52,800.00,466.00,350590.80,351264.30,358722.40
15,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,6,93.2,307.56,135,6,6.0650,539.91,800.00,158.44,566.85,645.42,582.52,375.92,359225.50,359232.70,365297.70
16,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,7,93.2,307.56,315,7,4.0796,577.72,582.52,683.48,983.91,267.96,800.00,466.00,365823.30,365824.90,369904.50
17,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,0,125.82000000000001,233,0,0,1.2765,289.14,800.00,466.00,1088.99,456.52,1033.00,466.00,415261.30,415983.80,417260.30
