#{"coordinateSystem":"2d","timestamp":1764871329335,"calibrationWidth":1280,"calibrationHeight":585}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
75332.400,0.000,640.000,204.750,701.242,409.458,-64.479,587.109,299.094,15.959,837.816,295.709,-1.590,701.242,409.458,-64.479,652.263,455.238,22.184,776.022,453.654,11.202,716.286,532.571,47.505,587.109,299.094,15.959,837.816,295.709,-1.590
78816.100,0.000,1250.750,204.750,243.853,439.685,-56.043,186.591,339.719,43.974,397.417,341.728,-28.445,243.853,439.685,-56.043,230.941,485.608,35.253,338.803,484.393,-7.392,291.692,555.112,36.485,186.591,339.719,43.974,397.417,341.728,-28.445
82754.100,0.000,29.250,29.250,1109.508,390.567,-66.607,957.744,286.706,-11.182,1198.946,294.924,41.741,1109.508,390.567,-66.607,1015.267,438.188,-6.035,1136.064,442.554,24.847,1067.618,520.969,27.248,957.744,286.706,-11.182,1198.946,294.924,41.741
85981.600,0.000,640.000,555.750,736.360,445.001,-54.740,635.053,341.703,5.311,850.841,343.245,-1.870,736.360,445.001,-54.740,688.838,475.711,22.157,794.587,475.260,17.417,740.420,538.568,50.441,635.053,341.703,5.311,850.841,343.245,-1.870
87795.000,0.000,945.375,29.250,657.890,375.995,-54.477,574.972,297.666,29.042,776.157,296.619,2.392,657.890,375.995,-54.477,619.518,425.405,11.782,721.692,424.728,-4.352,671.554,493.364,13.490,574.972,297.666,29.042,776.157,296.619,2.392
89670.300,0.000,334.625,380.250,879.079,396.408,-55.485,762.300,306.036,-2.457,968.194,314.066,25.392,879.079,396.408,-55.485,810.510,436.205,1.393,913.388,438.585,17.848,855.062,506.485,24.915,762.300,306.036,-2.457,968.194,314.066,25.392
91187.700,0.000,1250.750,29.250,608.347,360.148,-49.291,549.761,293.980,34.201,729.969,297.529,-3.398,608.347,360.148,-49.291,578.127,406.317,12.889,670.712,408.360,-9.467,621.111,472.317,9.467,549.761,293.980,34.201,729.969,297.529,-3.398
92903.700,0.000,29.250,204.750,860.796,367.342,-53.158,753.259,282.688,-0.415,941.136,300.404,32.796,860.796,367.342,-53.158,789.820,407.346,-6.616,887.181,414.260,13.355,827.418,478.498,9.942,753.259,282.688,-0.415,941.136,300.404,32.796
93819.300,0.000,29.250,555.750,833.252,364.480,-52.602,733.508,284.492,4.866,921.285,297.985,26.415,833.252,364.480,-52.602,769.392,406.318,-3.128,867.919,411.773,9.829,809.427,474.706,11.409,733.508,284.492,4.866,921.285,297.985,26.415
97614.300,0.000,1250.750,555.750,717.858,354.333,-51.375,640.205,287.112,28.283,825.922,288.469,5.105,717.858,354.333,-51.375,678.537,400.558,8.778,775.170,401.992,-5.451,726.897,465.933,7.240,640.205,287.112,28.283,825.922,288.469,5.105
98763.500,0.000,1250.750,380.250,708.816,352.549,-51.567,632.478,285.991,30.893,817.294,285.379,3.858,708.816,352.549,-51.567,674.024,399.286,9.293,768.296,400.558,-7.276,722.502,465.330,5.797,632.478,285.991,30.893,817.294,285.379,3.858
99857.600,0.000,334.625,555.750,723.794,355.152,-52.012,643.587,287.562,25.706,831.584,287.968,8.184,723.794,355.152,-52.012,682.936,401.278,7.477,779.521,401.885,-3.456,730.961,466.124,6.379,643.587,287.562,25.706,831.584,287.968,8.184
101606.100,0.000,29.250,380.250,820.268,360.794,-52.560,709.930,285.176,2.117,897.155,291.533,29.965,820.268,360.794,-52.560,757.519,404.790,-5.580,851.746,405.654,11.129,800.350,471.128,10.568,709.930,285.176,2.117,897.155,291.533,29.965
102582.100,0.000,945.375,555.750,736.123,358.867,-51.522,654.864,287.723,23.349,842.319,292.424,7.944,736.123,358.867,-51.522,693.869,402.453,7.893,788.725,405.554,-1.682,739.358,467.962,9.514,654.864,287.723,23.349,842.319,292.424,7.944
103482.900,0.000,334.625,29.250,759.593,341.624,-52.148,671.840,273.463,22.129,862.926,278.003,16.449,759.593,341.624,-52.148,713.057,389.380,0.726,808.966,391.658,-2.579,757.735,456.649,1.028,671.840,273.463,22.129,862.926,278.003,16.449
104476.300,0.000,640.000,29.250,738.296,343.062,-51.794,657.847,275.256,26.152,846.499,279.628,11.673,738.296,343.062,-51.794,693.771,391.302,3.518,789.829,394.189,-5.155,738.713,459.130,1.797,657.847,275.256,26.152,846.499,279.628,11.673
105627.400,0.000,334.625,204.750,766.527,352.581,-52.096,677.423,280.901,18.387,867.300,285.976,16.254,766.527,352.581,-52.096,718.538,398.637,1.944,814.416,400.937,0.801,762.189,463.711,6.026,677.423,280.901,18.387,867.300,285.976,16.254
107318.600,0.000,945.375,204.750,728.713,350.672,-52.052,651.040,281.283,26.880,838.168,285.523,7.598,728.713,350.672,-52.052,687.298,397.168,7.191,782.993,399.795,-4.620,732.588,463.212,6.249,651.040,281.283,26.880,838.168,285.523,7.598
108251.000,0.000,640.000,380.250,748.354,360.319,-51.318,663.554,288.215,19.959,853.192,290.788,10.521,748.354,360.319,-51.318,705.312,404.424,5.963,800.166,405.972,0.335,750.011,467.490,10.835,663.554,288.215,19.959,853.192,290.788,10.521
109167.100,0.000,945.375,380.250,728.511,362.070,-51.387,647.501,291.295,24.223,833.896,291.883,6.001,728.511,362.070,-51.387,688.904,406.833,9.250,784.984,407.137,-1.972,736.805,469.438,10.962,647.501,291.295,24.223,833.896,291.883,6.001
