PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,58.5,146.25,8,10.2561,268.77,37.75,3.0215,0.2946
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,58.5,193.05,8,9.7655,351.15,43.34,3.1863,0.3263
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,78.97500000000001,146.25,8,6.8141,268.34,74.60,2.2007,0.3230
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,78.97500000000001,193.05,8,7.5770,344.48,86.64,2.3150,0.3055
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,99.45,146.25,8,5.1332,253.35,120.31,1.6350,0.3185
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,99.45,193.05,8,6.2841,342.60,59.68,2.7528,0.4381
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,58.5,146.25,8,7.2957,266.69,55.51,2.5371,0.3478
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,58.5,193.05,8,5.2769,360.54,21.17,4.1722,0.7906
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,78.97500000000001,146.25,8,4.7900,263.87,74.31,2.1861,0.4564
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,78.97500000000001,193.05,8,5.4215,345.26,67.39,2.6144,0.4822
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,99.45,146.25,8,4.1380,269.09,76.41,2.1768,0.5261
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,99.45,193.05,8,4.4656,348.48,83.73,2.3679,0.5302
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,58.5,146.25,8,5.1771,261.44,62.10,2.3813,0.4600
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,58.5,193.05,8,4.7262,353.93,55.07,2.8927,0.6120
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,78.97500000000001,146.25,8,4.1940,266.74,85.93,2.0371,0.4857
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,78.97500000000001,193.05,8,4.3326,345.53,64.27,2.6727,0.6169
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,99.45,146.25,8,2.9913,256.29,51.48,2.5797,0.8624
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,99.45,193.05,8,3.3488,352.86,58.21,2.8201,0.8421
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,58.5,146.25,8,4.4128,266.37,56.80,2.5083,0.5684
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,58.5,193.05,8,4.1833,346.94,45.77,3.1011,0.7413
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,78.97500000000001,146.25,8,2.1580,272.97,66.74,2.3476,1.0879
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,78.97500000000001,193.05,8,2.8753,342.40,40.51,3.2407,1.1271
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,99.45,146.25,8,2.0938,261.09,94.60,1.9107,0.9126
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,99.45,193.05,8,2.8481,358.25,81.22,2.4359,0.8553
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,58.5,146.25,8,3.6522,272.30,30.68,3.3038,0.9046
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,58.5,193.05,8,3.9680,345.76,44.30,3.1382,0.7909
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,78.97500000000001,146.25,8,2.6912,262.53,64.95,2.3340,0.8673
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,78.97500000000001,193.05,8,3.6732,339.55,48.70,2.9951,0.8154
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,99.45,146.25,8,2.4758,258.90,69.50,2.2403,0.9049
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,99.45,193.05,8,3.0667,354.14,69.67,2.6047,0.8494
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,58.5,146.25,8,4.9105,261.26,43.79,2.8005,0.5703
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,58.5,193.05,8,4.5986,345.09,39.48,3.2839,0.7141
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,78.97500000000001,146.25,8,2.5633,265.80,75.07,2.1829,0.8516
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,78.97500000000001,193.05,8,3.4162,334.56,53.35,2.8622,0.8378
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,99.45,146.25,8,2.2239,262.91,90.37,1.9669,0.8845
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,99.45,193.05,8,2.8352,329.59,55.49,2.7948,0.9858
