GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,58.5,146.25,0,0,9.2040,151.58,640.00,292.50,791.35,300.85,786.25,292.50,184404.50,188728.20,197932.20
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,58.5,146.25,180,1,10.1505,293.51,786.25,292.50,492.95,281.35,640.00,292.50,198519.40,198629.20,208779.70
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,58.5,146.25,45,2,4.6288,276.06,493.75,292.50,745.43,405.92,597.16,395.91,209364.20,211328.50,215957.30
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,58.5,146.25,225,3,9.6474,300.51,743.41,395.91,515.76,199.75,640.00,292.50,216550.10,218176.90,227824.30
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,58.5,146.25,90,4,7.8567,269.49,536.59,189.09,662.22,427.50,536.59,335.34,228393.00,230216.20,238072.90
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,58.5,146.25,270,5,16.1623,300.86,640.00,438.75,630.08,138.06,640.00,292.50,238636.70,240383.30,256545.60
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,58.5,146.25,135,6,12.2828,280.69,640.00,146.25,537.09,407.40,536.59,249.66,257097.00,257137.40,269420.20
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,58.5,146.25,315,7,12.1161,277.47,536.59,395.91,731.85,198.79,640.00,292.50,269987.10,271560.30,283676.40
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,58.5,193.05,0,0,3.2917,209.15,640.00,292.50,848.40,310.16,833.05,292.50,361168.80,362769.80,366061.50
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,58.5,193.05,180,1,8.7954,397.48,833.05,292.50,435.61,297.93,640.00,292.50,366639.20,366681.30,375476.70
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,58.5,193.05,45,2,4.9407,368.67,446.95,292.50,781.75,446.85,583.46,429.01,376057.00,376909.90,381850.60
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,58.5,193.05,225,3,6.9155,382.88,776.51,429.01,498.25,166.00,640.00,292.50,382451.30,383147.00,390062.50
