PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,70.8,177,8,6.4869,320.18,43.79,3.0550,0.4709
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,70.8,233.64000000000001,8,8.2305,418.64,33.17,3.7676,0.4578
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,95.58000000000001,177,8,3.8725,317.37,68.80,2.4888,0.6427
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,95.58000000000001,233.64000000000001,8,5.0638,428.99,64.89,2.9282,0.5783
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,120.36000000000001,177,8,3.0873,300.39,43.95,2.9698,0.9620
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,120.36000000000001,233.64000000000001,8,4.5102,421.78,100.79,2.3743,0.5264
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,70.8,177,8,3.0863,319.23,71.53,2.4496,0.7937
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,70.8,233.64000000000001,8,3.6174,423.34,58.74,3.0367,0.8395
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,95.58000000000001,177,8,2.6565,327.65,41.61,3.1497,1.1857
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,95.58000000000001,233.64000000000001,8,2.8170,415.89,39.13,3.5395,1.2565
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,120.36000000000001,177,8,2.1207,324.93,126.66,1.8340,0.8648
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,120.36000000000001,233.64000000000001,8,2.1241,415.36,65.16,2.8826,1.3571
