GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,96.30000000000001,240.75,0,0,4.2230,261.34,806.00,481.50,1067.34,479.91,1046.75,481.50,854063.00,855597.00,859820.00
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,96.30000000000001,240.75,180,1,6.4430,464.00,1046.75,481.50,582.75,483.07,806.00,481.50,860333.00,860842.00,867285.00
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,96.30000000000001,240.75,45,2,4.6410,469.71,565.25,481.50,987.47,687.31,735.49,651.74,867794.00,868231.00,872872.00
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,96.30000000000001,240.75,225,3,5.2960,455.57,976.24,651.74,649.44,334.33,806.00,481.50,873376.00,873641.00,878937.00
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,96.30000000000001,240.75,90,4,6.0410,436.99,635.76,311.26,812.73,710.82,635.76,552.01,879448.00,879624.00,885665.00
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,96.30000000000001,240.75,270,5,5.1200,487.89,806.00,722.25,814.90,234.44,806.00,481.50,886173.00,886561.00,891681.00
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,96.30000000000001,240.75,135,6,4.8030,455.18,806.00,240.75,631.14,661.00,635.76,410.99,892189.00,892418.00,897221.00
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,96.30000000000001,240.75,315,7,7.4770,473.72,635.76,651.74,962.82,309.03,806.00,481.50,897729.00,897922.00,905399.00
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,96.30000000000001,317.79,0,0,3.1690,302.63,806.00,481.50,1108.57,487.39,1123.79,481.50,911968.00,913608.00,916777.00
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,96.30000000000001,317.79,180,1,4.0730,674.38,1123.79,481.50,449.78,503.73,806.00,481.50,917283.00,917319.00,921392.00
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,96.30000000000001,317.79,45,2,6.8580,615.59,488.21,481.50,1059.49,710.83,712.92,706.21,921899.00,921900.00,928758.00
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,96.30000000000001,317.79,225,3,6.2830,602.77,1030.71,706.21,602.28,282.21,806.00,481.50,929266.00,929345.00,935628.00
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,96.30000000000001,317.79,90,4,4.2870,623.60,581.29,256.79,839.28,824.52,581.29,574.58,936137.00,936138.00,940425.00
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,96.30000000000001,317.79,270,5,4.4330,653.12,806.00,799.29,831.47,146.67,806.00,481.50,940957.00,940986.00,945419.00
15,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,6,96.30000000000001,317.79,135,6,5.0660,598.39,806.00,163.71,564.15,711.05,581.29,388.42,945923.00,946344.00,951410.00
16,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,7,96.30000000000001,317.79,315,7,4.2490,647.87,581.29,706.21,1059.07,268.66,806.00,481.50,951925.00,952216.00,956465.00
17,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,0,130.005,240.75,0,0,2.5250,244.57,806.00,481.50,1047.79,444.76,1046.75,481.50,961588.00,963603.00,966128.00
18,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,1,130.005,240.75,180,1,3.0550,530.26,1046.75,481.50,516.93,503.05,806.00,481.50,966643.00,966867.00,969922.00
