PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,81.2,203,8,6.1455,384.06,42.76,3.3192,0.5401
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,81.2,267.96000000000004,8,4.9050,494.69,57.41,3.2655,0.6657
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,109.62,203,8,3.7562,399.12,46.30,3.2661,0.8695
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,109.62,267.96000000000004,8,5.3725,494.05,40.36,3.7268,0.6937
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,138.04000000000002,203,8,3.3741,383.11,101.04,2.2605,0.6700
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,138.04000000000002,267.96000000000004,8,3.0532,482.05,65.40,3.0655,1.0040
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,81.2,203,8,4.5181,365.03,42.23,3.2697,0.7237
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,81.2,267.96000000000004,8,5.7757,495.10,65.10,3.1051,0.5376
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,109.62,203,8,2.7258,380.56,86.80,2.4288,0.8910
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,109.62,267.96000000000004,8,2.3442,492.06,78.77,2.8573,1.2189
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,138.04000000000002,203,8,2.3060,370.75,114.12,2.0870,0.9050
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,138.04000000000002,267.96000000000004,8,2.3192,488.68,91.10,2.6699,1.1512
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,81.2,203,8,2.5771,381.65,38.84,3.4364,1.3335
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,81.2,267.96000000000004,8,3.1913,495.05,50.03,3.4456,1.0797
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,109.62,203,8,2.2794,381.60,80.00,2.5286,1.1093
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,109.62,267.96000000000004,8,2.9901,495.41,75.65,2.9162,0.9753
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,138.04000000000002,203,8,1.9278,379.00,94.39,2.3263,1.2067
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,138.04000000000002,267.96000000000004,8,2.0640,485.43,118.12,2.3533,1.1401
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,81.2,203,8,2.3435,365.42,65.72,2.7138,1.1580
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,81.2,267.96000000000004,8,2.5227,485.85,80.27,2.8182,1.1171
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,109.62,203,8,1.9743,364.98,72.94,2.5859,1.3098
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,109.62,267.96000000000004,8,2.2119,486.18,36.21,3.8506,1.7408
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,138.04000000000002,203,8,1.7261,347.06,72.17,2.5383,1.4705
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,138.04000000000002,267.96000000000004,8,2.5768,494.53,130.94,2.2560,0.8755
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,81.2,203,8,2.6421,369.58,60.36,2.8326,1.0721
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,81.2,267.96000000000004,8,3.0217,490.41,71.96,2.9663,0.9817
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,109.62,203,8,2.0979,362.93,42.51,3.2535,1.5508
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,109.62,267.96000000000004,8,3.3359,484.04,85.94,2.7295,0.8182
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,138.04000000000002,203,8,1.9001,375.17,87.68,2.4003,1.2632
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,138.04000000000002,267.96000000000004,8,2.1623,488.66,117.63,2.3657,1.0941
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,81.2,203,8,1.8151,366.79,85.49,2.4033,1.3241
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,81.2,267.96000000000004,8,2.4479,487.65,69.35,3.0057,1.2279
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,109.62,203,8,1.5825,367.49,76.71,2.5337,1.6010
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,109.62,267.96000000000004,8,2.0417,470.86,39.23,3.7006,1.8124
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,138.04000000000002,203,8,1.3493,372.96,86.31,2.4118,1.7875
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,138.04000000000002,267.96000000000004,8,2.0185,463.73,105.38,2.4331,1.2054
