GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,81.2,203,0,0,8.2767,205.13,720.00,406.00,924.20,425.46,923.00,406.00,224760.90,228393.00,236669.70
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,81.2,203,180,1,4.0679,411.63,923.00,406.00,511.59,419.40,720.00,406.00,237172.40,239064.00,243131.90
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,81.2,203,45,2,2.3724,411.15,517.00,406.00,895.63,566.25,660.54,549.54,243633.40,244591.00,246963.40
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,81.2,203,225,3,5.7009,418.84,863.54,549.54,580.20,241.09,720.00,406.00,247469.20,248592.80,254293.70
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,81.2,203,90,4,5.9359,399.99,576.46,262.46,722.68,634.76,576.46,465.46,254796.00,256327.40,262263.30
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,81.2,203,270,5,8.1424,401.64,720.00,609.00,703.97,207.68,720.00,406.00,262764.90,262798.50,270940.90
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,81.2,203,135,6,8.6632,396.18,720.00,203.00,583.04,574.75,576.46,346.54,271441.90,272996.00,281659.20
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,81.2,203,315,7,6.0047,427.91,576.46,549.54,874.75,242.75,720.00,406.00,282161.80,283425.10,289429.80
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,81.2,267.96000000000004,0,0,2.5096,278.70,720.00,406.00,998.29,421.13,987.96,406.00,298404.50,300032.30,302541.90
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,81.2,267.96000000000004,180,1,4.5701,538.27,987.96,406.00,449.70,401.62,720.00,406.00,303043.50,303560.50,308130.60
