PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,75.4,188.5,8,10.2483,354.22,70.41,2.5924,0.2530
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,75.4,248.82000000000002,8,6.4367,444.07,68.55,2.9027,0.4510
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,101.79,188.5,8,5.7626,349.45,58.03,2.8119,0.4879
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,101.79,248.82000000000002,8,5.0112,455.25,40.03,3.6293,0.7242
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,128.18,188.5,8,2.7836,354.46,86.81,2.3457,0.8427
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,128.18,248.82000000000002,8,6.1939,453.47,74.81,2.8200,0.4553
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,75.4,188.5,8,6.0356,355.64,35.80,3.4508,0.5717
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,75.4,248.82000000000002,8,7.4537,444.94,65.00,2.9717,0.3987
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,101.79,188.5,8,5.0888,348.86,123.39,1.9364,0.3805
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,101.79,248.82000000000002,8,4.3344,449.27,90.54,2.5758,0.5943
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,128.18,188.5,8,3.6812,341.61,97.34,2.1729,0.5903
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,128.18,248.82000000000002,8,4.7372,430.03,73.88,2.7698,0.5847
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,75.4,188.5,8,3.5705,350.77,26.33,3.8401,1.0755
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,75.4,248.82000000000002,8,4.1580,451.87,66.35,2.9655,0.7132
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,101.79,188.5,8,2.7824,342.16,86.39,2.3105,0.8304
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,101.79,248.82000000000002,8,5.1493,447.00,124.00,2.2032,0.4279
