#{"coordinateSystem":"2d","timestamp":1765177491521,"calibrationWidth":1361,"calibrationHeight":754}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
43385.300,0.000,680.500,263.900,730.283,527.879,-55.669,632.880,443.812,24.885,838.356,439.865,18.643,730.283,527.879,-55.669,675.416,601.593,-0.736,795.567,599.331,-4.191,733.762,698.539,-1.555,632.880,443.812,24.885,838.356,439.865,18.643
46438.300,0.000,1323.300,263.900,586.070,484.588,-46.662,545.843,450.088,61.235,709.093,402.841,-0.126,586.070,484.588,-46.662,579.244,576.085,2.614,675.107,555.700,-35.192,634.207,665.479,-34.343,545.843,450.088,61.235,709.093,402.841,-0.126
49237.400,0.000,37.700,37.700,787.232,455.314,-50.626,678.220,399.722,22.688,870.323,406.971,38.969,787.232,455.314,-50.626,720.865,537.656,-18.797,833.211,538.206,-8.539,777.733,638.231,-32.626,678.220,399.722,22.688,870.323,406.971,38.969
51736.100,0.000,680.500,716.300,760.137,536.188,-52.630,655.972,451.488,17.489,857.036,450.967,22.847,760.137,536.188,-52.630,699.231,599.232,-3.298,814.124,598.809,0.207,755.516,691.996,-1.554,655.972,451.488,17.489,857.036,450.967,22.847
53901.200,0.000,1001.900,37.700,730.372,454.734,-50.653,641.787,413.119,35.423,830.596,403.859,27.560,730.372,454.734,-50.653,678.814,541.854,-11.399,791.888,537.807,-16.657,737.198,639.901,-35.361,641.787,413.119,35.423,830.596,403.859,27.560
55599.000,0.000,359.100,490.100,792.799,492.900,-52.244,685.103,424.096,18.580,877.615,434.178,35.477,792.799,492.900,-52.244,723.289,569.094,-14.307,835.517,572.437,-3.625,776.526,666.552,-20.538,685.103,424.096,18.580,877.615,434.178,35.477
57135.100,0.000,1323.300,37.700,694.423,461.810,-50.891,620.909,420.285,43.832,808.452,404.959,18.592,694.423,461.810,-50.891,656.399,550.832,-5.837,766.461,543.463,-22.042,711.708,646.551,-33.622,620.909,420.285,43.832,808.452,404.959,18.592
58571.100,0.000,37.700,263.900,805.312,471.450,-50.404,696.906,408.958,18.568,881.369,420.843,42.662,805.312,471.450,-50.404,735.518,547.979,-20.897,843.719,552.129,-5.574,789.732,653.260,-33.313,696.906,408.958,18.568,881.369,420.843,42.662
59806.400,0.000,37.700,716.300,803.732,512.493,-51.644,696.396,434.132,14.064,886.813,447.367,35.716,803.732,512.493,-51.644,730.454,580.010,-13.598,839.118,585.978,0.026,777.717,681.927,-15.511,696.396,434.132,14.064,886.813,447.367,35.716
61202.400,0.000,1323.300,716.300,686.920,503.772,-52.603,613.972,446.248,40.402,802.799,427.285,11.831,686.920,503.772,-52.603,652.843,581.264,0.084,761.022,572.978,-17.175,706.867,671.818,-16.217,613.972,446.248,40.402,802.799,427.285,11.831
65962.400,0.000,1323.300,490.100,669.783,449.873,-48.825,605.628,422.421,50.899,783.702,392.581,16.895,669.783,449.873,-48.825,640.993,539.581,-6.763,745.224,526.357,-28.804,698.378,632.009,-43.214,605.628,422.421,50.899,783.702,392.581,16.895
67139.000,0.000,359.100,716.300,786.495,489.806,-50.720,686.237,419.915,20.217,875.275,435.258,33.556,786.495,489.806,-50.720,718.697,561.832,-13.901,827.850,568.816,-5.460,767.790,663.277,-21.953,686.237,419.915,20.217,875.275,435.258,33.556
68271.000,0.000,37.700,490.100,851.039,463.143,-45.724,743.003,399.622,13.780,918.820,431.935,52.301,851.039,463.143,-45.724,770.620,536.582,-30.644,876.695,549.103,-6.553,818.026,640.883,-43.563,743.003,399.622,13.780,918.820,431.935,52.301
69526.800,0.000,1001.900,716.300,698.151,484.534,-50.181,630.123,433.117,42.526,814.757,421.573,13.561,698.151,484.534,-50.181,661.310,565.693,-2.166,768.974,558.805,-20.342,716.184,657.421,-25.074,630.123,433.117,42.526,814.757,421.573,13.561
70836.600,0.000,359.100,37.700,796.411,396.110,-42.752,693.413,369.531,33.711,875.120,380.077,50.635,796.411,396.110,-42.752,732.827,483.967,-36.908,838.901,484.966,-25.910,789.257,578.394,-69.682,693.413,369.531,33.711,875.120,380.077,50.635
71763.800,0.000,680.500,37.700,717.415,408.673,-46.279,650.836,390.153,52.348,827.883,379.450,26.387,717.415,408.673,-46.279,671.146,500.128,-17.114,782.385,495.688,-34.029,726.208,594.444,-59.721,650.836,390.153,52.348,827.883,379.450,26.387
72739.400,0.000,359.100,263.900,811.124,480.919,-50.271,703.721,416.309,16.878,889.010,430.432,41.177,811.124,480.919,-50.271,740.682,559.932,-19.357,850.800,561.718,-4.263,793.765,656.688,-28.562,703.721,416.309,16.878,889.010,430.432,41.177
73637.900,0.000,1001.900,263.900,692.597,475.255,-49.823,626.611,422.454,45.126,812.453,409.248,11.670,692.597,475.255,-49.823,658.062,552.211,-1.310,761.943,548.300,-22.182,713.448,650.556,-26.974,626.611,422.454,45.126,812.453,409.248,11.670
74463.900,0.000,680.500,490.100,728.953,535.124,-51.274,634.436,452.964,24.658,831.331,443.996,15.917,728.953,535.124,-51.274,679.816,598.530,-0.485,788.868,592.865,-5.064,737.963,685.439,-2.691,634.436,452.964,24.658,831.331,443.996,15.917
75211.000,0.000,1001.900,490.100,679.654,507.344,-53.020,605.390,449.044,43.953,796.563,424.337,8.393,679.654,507.344,-53.020,648.747,588.472,1.961,756.183,575.848,-18.922,710.584,676.180,-15.867,605.390,449.044,43.953,796.563,424.337,8.393
