PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,77.80000000000001,194.5,8,9.2217,365.50,58.14,2.8651,0.3107
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,77.80000000000001,256.74,8,11.1398,469.32,65.42,3.0311,0.2721
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,105.03,194.5,8,12.0522,369.26,98.09,2.2523,0.1869
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,105.03,256.74,8,9.2835,470.77,62.61,3.0907,0.3329
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,132.26000000000002,194.5,8,3.8679,361.86,114.60,2.0557,0.5315
1,1,"Very Low Variance (~1.0) - Maximum Stability",exponential,1,1.0276,1092.43,132.26000000000002,256.74,8,7.9001,470.28,68.21,2.9809,0.3773
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,77.80000000000001,194.5,8,15.9866,348.64,80.14,2.4197,0.1514
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,77.80000000000001,256.74,8,11.9800,459.03,51.44,3.3109,0.2764
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,105.03,194.5,8,7.8748,357.41,84.56,2.3859,0.3030
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,105.03,256.74,8,5.6729,463.27,53.00,3.2842,0.5789
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,132.26000000000002,194.5,8,7.1085,346.45,104.11,2.1136,0.2973
1,1,"Very Low Variance (~1.0) - Maximum Stability",oneEuro,1,1.0410,383.47,132.26000000000002,256.74,8,7.5928,460.33,136.04,2.1322,0.2808
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,77.80000000000001,194.5,8,6.3347,358.24,82.98,2.4106,0.3805
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,77.80000000000001,256.74,8,10.3154,463.36,49.19,3.3814,0.3278
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,105.03,194.5,8,10.0562,345.11,35.24,3.4320,0.3413
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,105.03,256.74,8,6.1048,461.08,79.67,2.7629,0.4526
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,132.26000000000002,194.5,8,6.4797,344.70,161.32,1.6493,0.2545
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,132.26000000000002,256.74,8,6.6159,449.71,75.31,2.8014,0.4234
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,77.80000000000001,194.5,8,7.6687,351.31,44.42,3.1552,0.4114
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,77.80000000000001,256.74,8,5.5971,470.02,72.34,2.9063,0.5192
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,105.03,194.5,8,6.6028,354.12,77.11,2.4834,0.3761
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,105.03,256.74,8,8.4200,461.54,85.71,2.6747,0.3177
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,132.26000000000002,194.5,8,4.4798,355.56,98.94,2.1997,0.4910
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,132.26000000000002,256.74,8,5.0888,461.52,118.57,2.2906,0.4501
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,77.80000000000001,194.5,8,5.2466,342.16,37.17,3.3514,0.6388
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,77.80000000000001,256.74,8,5.3341,450.66,41.45,3.5694,0.6692
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,105.03,194.5,8,5.1741,338.14,64.26,2.6467,0.5115
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,105.03,256.74,8,5.0501,447.57,75.35,2.7949,0.5534
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,132.26000000000002,194.5,8,3.4104,326.23,108.36,2.0038,0.5875
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,132.26000000000002,256.74,8,4.2316,461.93,70.13,2.9235,0.6909
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,77.80000000000001,194.5,8,3.7688,348.45,59.59,2.7755,0.7364
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,77.80000000000001,256.74,8,5.1308,461.27,67.62,2.9675,0.5784
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,105.03,194.5,8,2.9434,333.08,62.68,2.6585,0.9032
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,105.03,256.74,8,4.2005,454.13,89.34,2.6048,0.6201
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,132.26000000000002,194.5,8,2.3978,336.55,86.23,2.2936,0.9566
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,132.26000000000002,256.74,8,3.8608,453.09,134.74,2.1252,0.5505
