GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,0,63.300000000000004,158.25,0,0,3.8257,160.37,683.00,316.50,842.45,333.66,841.25,316.50,193154.90,195078.60,198904.30
2,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,1,63.300000000000004,158.25,180,1,7.0094,302.65,841.25,316.50,538.60,314.65,683.00,316.50,199465.90,200841.60,207851.00
3,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,2,63.300000000000004,158.25,45,2,6.3731,293.13,524.75,316.50,790.04,441.20,636.65,428.40,208413.90,209589.10,215962.20
4,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,3,63.300000000000004,158.25,225,3,6.9200,332.92,794.90,428.40,555.82,196.71,683.00,316.50,216528.30,217639.40,224559.40
5,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,4,63.300000000000004,158.25,90,4,9.9012,301.84,571.10,204.60,685.41,483.95,571.10,362.85,225100.70,225132.20,235033.40
6,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,5,63.300000000000004,158.25,270,5,7.1712,308.13,683.00,474.75,687.32,166.65,683.00,316.50,235571.90,237091.90,244263.10
7,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,6,63.300000000000004,158.25,135,6,4.6701,296.95,683.00,158.25,564.73,430.63,571.10,270.15,244808.80,246994.30,251664.40
8,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,0,7,63.300000000000004,158.25,315,7,5.0281,320.29,571.10,428.40,801.36,205.76,683.00,316.50,252211.50,253843.20,258871.30
9,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,0,63.300000000000004,208.89000000000001,0,0,6.5320,209.75,683.00,316.50,892.00,334.18,891.89,316.50,285743.50,287375.40,293907.40
10,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,1,63.300000000000004,208.89000000000001,180,1,7.2751,423.37,891.89,316.50,468.96,335.89,683.00,316.50,294474.60,296122.20,303397.30
11,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,2,63.300000000000004,208.89000000000001,45,2,4.0254,396.69,474.11,316.50,831.68,488.28,621.82,464.21,303939.80,305819.70,309845.10
12,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,3,63.300000000000004,208.89000000000001,225,3,9.6735,430.22,830.71,464.21,520.54,166.06,683.00,316.50,310390.80,310466.40,320139.90
13,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,4,63.300000000000004,208.89000000000001,90,4,6.9613,378.35,535.29,168.79,703.85,507.52,535.29,377.68,320646.10,322277.20,329238.50
14,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,5,63.300000000000004,208.89000000000001,270,5,10.3062,423.46,683.00,525.39,688.98,101.98,683.00,316.50,329782.90,330839.80,341146.00
15,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,6,63.300000000000004,208.89000000000001,135,6,12.3630,387.59,683.00,107.61,540.06,467.88,535.29,255.32,341693.70,343574.50,355937.50
16,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,1,7,63.300000000000004,208.89000000000001,315,7,9.9999,419.43,535.29,464.21,830.37,166.13,683.00,316.50,356472.70,357575.80,367575.70
17,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,0,85.45500000000001,158.25,0,0,1.3555,164.81,683.00,316.50,846.90,333.73,841.25,316.50,387564.30,388788.70,390144.20
18,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,1,85.45500000000001,158.25,180,1,5.8829,350.38,841.25,316.50,490.92,310.56,683.00,316.50,390691.90,391896.20,397779.10
19,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,2,85.45500000000001,158.25,45,2,2.5067,309.01,524.75,316.50,808.63,438.56,636.65,428.40,398326.10,399398.50,401905.20
20,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,3,85.45500000000001,158.25,225,3,6.9123,296.97,794.90,428.40,574.88,228.94,683.00,316.50,402453.90,404700.80,411613.10
21,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,4,85.45500000000001,158.25,90,4,5.3012,301.03,571.10,204.60,674.60,487.28,571.10,362.85,412150.60,413631.50,418932.70
22,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,5,85.45500000000001,158.25,270,5,9.6451,301.32,683.00,474.75,651.46,175.08,683.00,316.50,419481.40,421278.50,430923.60
23,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,6,85.45500000000001,158.25,135,6,7.3555,299.10,683.00,158.25,564.19,432.74,571.10,270.15,431461.40,431690.40,439045.90
24,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,2,7,85.45500000000001,158.25,315,7,5.1469,305.20,571.10,428.40,795.99,222.08,683.00,316.50,439608.30,440813.10,445960.00
25,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,0,85.45500000000001,208.89000000000001,0,0,2.1925,218.47,683.00,316.50,901.43,312.33,891.89,316.50,489649.90,490531.70,492724.20
26,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,1,85.45500000000001,208.89000000000001,180,1,7.0509,414.61,891.89,316.50,477.32,322.60,683.00,316.50,493292.70,496486.00,503536.90
27,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,2,85.45500000000001,208.89000000000001,45,2,3.6144,385.43,474.11,316.50,816.07,494.32,621.82,464.21,504077.20,505143.30,508757.70
28,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,3,85.45500000000001,208.89000000000001,225,3,10.0511,408.96,830.71,464.21,533.40,183.39,683.00,316.50,509315.60,510738.90,520790.00
29,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,4,85.45500000000001,208.89000000000001,90,4,5.1929,411.74,535.29,168.79,692.21,549.46,535.29,377.68,521317.10,522627.30,527820.20
30,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,5,85.45500000000001,208.89000000000001,270,5,12.8559,402.55,683.00,525.39,700.26,123.21,683.00,316.50,528361.50,530026.90,542882.80
31,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,6,85.45500000000001,208.89000000000001,135,6,3.2871,381.32,683.00,107.61,538.50,460.50,535.29,255.32,543432.70,544671.40,547958.50
32,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,3,7,85.45500000000001,208.89000000000001,315,7,5.3729,403.68,535.29,464.21,829.85,188.17,683.00,316.50,548520.80,549651.20,555024.10
33,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,0,107.61000000000001,158.25,0,0,0.9810,186.88,683.00,316.50,868.25,291.85,841.25,316.50,565701.30,566579.60,567560.60
34,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,1,107.61000000000001,158.25,180,1,2.8106,320.12,841.25,316.50,521.14,313.62,683.00,316.50,568120.10,570029.30,572839.90
35,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,2,107.61000000000001,158.25,45,2,3.8682,307.57,524.75,316.50,804.02,445.39,636.65,428.40,573380.40,574261.20,578129.40
36,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,3,107.61000000000001,158.25,225,3,7.7993,289.99,794.90,428.40,574.72,239.68,683.00,316.50,578696.20,580044.60,587843.90
37,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,4,107.61000000000001,158.25,90,4,2.2572,289.21,571.10,204.60,660.93,479.51,571.10,362.85,588394.10,589759.30,592016.50
38,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,5,107.61000000000001,158.25,270,5,8.7074,288.45,683.00,474.75,681.21,186.31,683.00,316.50,592558.50,595344.50,604051.90
39,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,6,107.61000000000001,158.25,135,6,6.2913,310.36,683.00,158.25,590.03,454.36,571.10,270.15,604594.80,606157.20,612448.50
40,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,7,107.61000000000001,158.25,315,7,10.7953,315.96,571.10,428.40,817.21,230.25,683.00,316.50,612987.10,614174.20,624969.50
41,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,0,107.61000000000001,208.89000000000001,0,0,1.4171,232.29,683.00,316.50,915.28,314.54,891.89,316.50,651635.20,652762.80,654179.90
42,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,1,107.61000000000001,208.89000000000001,180,1,8.1497,430.16,891.89,316.50,461.92,303.52,683.00,316.50,654733.80,656266.70,664416.40
