#{"coordinateSystem":"2d","timestamp":1764703609576,"calibrationWidth":1300,"calibrationHeight":596}
timestamp,frameIndex,targetX,targetY,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z
9363.800,0.000,650.000,208.600,671.233,321.616,-33.156,616.191,286.231,15.556,728.011,287.783,14.584,671.233,321.616,-33.156,640.465,360.423,-2.220,705.444,359.045,-2.907,672.666,408.979,-8.517,616.191,286.231,15.556,728.011,287.783,14.584
11079.900,0.000,1270.200,208.600,593.853,318.120,-30.833,558.048,290.350,29.922,663.861,278.105,1.903,593.853,318.120,-30.833,580.788,359.378,3.505,638.885,353.537,-13.685,616.096,402.487,-11.811,558.048,290.350,29.922,663.861,278.105,1.903
14023.800,0.000,29.800,29.800,759.981,296.531,-26.771,690.660,263.997,6.122,790.289,283.427,39.537,759.981,296.531,-26.771,719.613,333.834,-25.196,771.788,339.641,-4.435,739.322,386.643,-36.089,690.660,263.997,6.122,790.289,283.427,39.537
16415.200,0.000,650.000,566.200,671.274,352.159,-32.772,612.423,303.188,9.407,731.579,304.105,8.405,671.274,352.159,-32.772,641.836,384.275,3.885,705.780,382.957,3.490,672.817,430.421,8.522,612.423,303.188,9.407,731.579,304.105,8.405
19306.600,0.000,960.100,29.800,580.792,285.566,-29.971,537.967,273.374,30.888,644.459,259.253,14.909,580.792,285.566,-29.971,560.792,331.920,-8.224,622.744,324.211,-18.808,595.245,375.159,-31.978,537.967,273.374,30.888,644.459,259.253,14.909
21724.900,0.000,339.900,387.400,761.346,342.837,-32.538,691.867,288.728,-0.967,802.297,309.876,29.539,761.346,342.837,-32.538,707.719,373.799,-12.590,764.293,381.390,6.425,727.457,423.848,-5.464,691.867,288.728,-0.967,802.297,309.876,29.539
24083.700,0.000,1270.200,29.800,492.853,277.378,-32.530,450.104,264.443,36.591,564.540,239.871,10.826,492.853,277.378,-32.530,480.395,327.475,-4.871,544.353,315.186,-21.547,519.566,371.582,-31.625,450.104,264.443,36.591,564.540,239.871,10.826
27347.800,0.000,29.800,208.600,830.570,321.820,-33.967,765.569,262.632,2.322,874.568,300.123,36.726,830.570,321.820,-33.967,767.483,348.504,-18.801,827.582,365.352,2.640,778.570,406.525,-19.103,765.569,262.632,2.322,874.568,300.123,36.726
29218.000,0.000,29.800,566.200,868.530,391.752,-35.312,816.013,311.884,-9.727,928.394,356.402,31.103,868.530,391.752,-35.312,800.313,405.161,-9.809,857.770,424.482,14.917,799.271,460.503,6.066,816.013,311.884,-9.727,928.394,356.402,31.103
32960.200,0.000,1270.200,566.200,370.930,372.959,-35.928,319.909,349.142,36.681,435.014,301.905,-4.685,370.930,372.959,-35.928,381.919,417.926,8.836,441.743,392.894,-16.153,439.401,455.947,-5.618,319.909,349.142,36.681,435.014,301.905,-4.685
