variance,latency,minCutoff,beta,dCutoff
5.1228,211.16,0.001,0.00001,0.1
7.2562,163.71,0.001,0.00001,0.2
8.3594,160.67,0.001,0.00001,0.3
8.9940,156.42,0.001,0.00001,0.4
9.3901,154.98,0.001,0.00001,0.5
9.6543,153.89,0.001,0.00001,0.6
9.9764,152.78,0.001,0.00001,0.8
10.0803,152.24,0.001,0.00001,0.9
10.1616,151.66,0.001,0.00001,1
10.2267,150.24,0.001,0.00001,1.1
10.2800,149.63,0.001,0.00001,1.2
10.3242,149.60,0.001,0.00001,1.3
10.3614,149.31,0.001,0.00001,1.4
10.3934,148.51,0.001,0.00001,1.5
13.3163,148.18,0.021,0.00001,0.8
13.5689,147.43,0.021,0.00001,1.2
13.7242,146.88,0.021,0.00001,1.800000000000001
16.0156,146.20,0.041,0.00001,0.6
16.1431,145.91,0.041,0.00001,0.7
16.2373,144.74,0.041,0.00001,0.8
16.3657,144.47,0.041,0.00001,1
16.4788,143.92,0.041,0.00001,1.3
18.5937,143.31,0.061,0.00001,0.6
18.8869,142.78,0.061,0.00001,1
18.9251,142.75,0.061,0.00001,1.1
19.0542,142.47,0.061,0.00001,1.700000000000001
20.8352,142.46,0.081,0.00001,0.6
20.9247,141.91,0.081,0.00001,0.7
20.9913,141.61,0.081,0.00001,0.8
21.0826,141.33,0.081,0.00001,1
21.2126,141.04,0.081,0.00001,1.6
21.2354,141.03,0.081,0.00001,1.800000000000001
22.8639,140.85,0.101,0.00001,0.7
22.9978,140.84,0.101,0.00001,1
23.0481,140.48,0.101,0.00001,1.2
23.1371,139.92,0.101,0.00001,1.900000000000001
24.5591,139.42,0.121,0.00001,0.7
24.7171,138.86,0.121,0.00001,1.2
27.0020,138.28,0.161,0.00001,0.3
27.1479,137.72,0.161,0.00001,0.4
27.6547,137.22,0.181,0.00001,0.1
28.3353,137.18,0.181,0.00001,0.4
28.5475,136.89,0.181,0.00001,0.8
28.8085,134.95,0.201,0.00001,0.1
29.1081,134.10,0.201,0.00001,0.2
30.0846,133.24,0.221,0.00001,0.2
30.3262,132.95,0.221,0.00001,0.4
31.1652,132.12,0.241,0.00001,0.4
32.0019,131.85,0.261,0.00001,0.6
33.0729,131.83,0.301,0.00001,0.2
33.1588,131.56,0.301,0.00001,0.3
33.7741,131.27,0.321,0.00001,0.4
34.7810,130.69,0.361,0.00001,0.5
35.1135,90.07,0.001,0.00051,0.1
37.1653,88.32,0.001,0.00051,0.2
37.2566,87.72,0.021,0.00051,0.2
37.9946,86.90,0.001,0.00051,0.3
38.4553,86.63,0.101,0.00051,0.3
38.6012,86.32,0.021,0.00051,0.4
38.9619,85.42,0.101,0.00051,0.4
40.3250,83.95,0.001,0.00101,0.3
40.8856,83.66,0.001,0.00101,0.4
41.2718,83.12,0.021,0.00101,0.5
41.4470,82.61,0.001,0.00151,0.3
44.7246,81.88,0.981000000000001,0.00601,1.900000000000001
44.7566,81.22,0.981000000000001,0.00651,1.900000000000001
