#{"coordinateSystem":"2d","timestamp":1781627333618,"calibrationWidth":1470,"calibrationHeight":738,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
4141.500,0.000,735.000,258.300,0.500,0.350,735.536,438.405,-50.541,635.570,346.370,11.654,839.430,358.612,14.797,735.536,438.405,-50.541,669.796,487.764,5.118,783.254,495.589,6.108,721.228,575.501,14.313,635.570,346.370,11.654,839.430,358.612,14.797,-1.527,-4.497,-4.194
5906.000,0.000,1433.100,258.300,0.975,0.350,603.821,429.599,-44.413,553.778,350.482,44.310,733.317,344.657,-15.198,603.821,429.599,-44.413,585.686,485.085,18.511,679.828,489.583,-16.155,638.053,574.733,6.095,553.778,350.482,44.310,733.317,344.657,-15.198,21.746,-0.407,1.595
7639.000,0.000,36.900,36.900,0.025,0.050,869.815,396.974,-45.384,741.407,318.650,-5.922,915.296,343.438,51.309,869.815,396.974,-45.384,779.862,457.847,-24.580,877.572,468.692,9.874,824.682,551.385,-17.292,741.407,318.650,-5.922,915.296,343.438,51.309,-21.651,9.063,-8.308
8954.400,0.000,735.000,701.100,0.500,0.950,733.858,495.949,-47.966,632.439,394.116,4.692,842.031,401.615,3.648,733.858,495.949,-47.966,676.660,532.866,15.428,784.344,538.099,14.558,728.077,614.332,36.943,632.439,394.116,4.692,842.031,401.615,3.648,0.065,-12.407,-2.477
10157.900,0.000,1084.050,36.900,0.737,0.050,690.741,407.926,-49.797,603.609,334.984,29.811,804.464,333.083,10.599,690.741,407.926,-49.797,640.536,474.051,3.160,752.299,474.657,-8.811,698.262,562.177,-4.519,603.609,334.984,29.811,804.464,333.083,10.599,6.779,3.298,-0.036
11122.400,0.000,385.950,479.700,0.263,0.650,789.568,438.952,-50.098,680.292,347.538,5.233,880.232,366.141,26.607,789.568,438.952,-50.098,715.026,493.383,-3.828,824.529,500.810,7.978,760.729,583.049,6.445,680.292,347.538,5.233,880.232,366.141,26.607,-7.743,-0.846,-6.035
12257.900,0.000,1433.100,36.900,0.975,0.050,716.336,431.291,-50.646,621.788,343.422,20.687,829.659,354.447,9.142,716.336,431.291,-50.646,656.951,487.943,7.050,769.511,496.851,-0.280,709.240,579.303,10.495,621.788,343.422,20.687,829.659,354.447,9.142,3.880,-2.198,-3.728
13171.700,0.000,36.900,258.300,0.025,0.350,808.243,429.734,-49.383,685.598,343.582,0.036,880.211,354.874,33.631,808.243,429.734,-49.383,730.391,490.604,-8.449,837.441,492.444,10.694,778.952,579.394,2.926,685.598,343.582,0.036,880.211,354.874,33.631,-12.653,0.697,-3.630
14373.800,0.000,36.900,701.100,0.025,0.950,820.501,473.079,-45.397,702.919,380.397,-9.705,890.890,391.660,26.786,820.501,473.079,-45.397,736.413,519.894,-0.653,837.426,523.283,19.732,777.748,603.494,21.756,702.919,380.397,-9.705,890.890,391.660,26.786,-14.464,-6.653,-4.702
16873.400,0.000,1433.100,701.100,0.975,0.950,617.096,472.670,-46.922,543.753,388.238,31.437,734.334,377.753,-13.716,617.096,472.670,-46.922,592.657,522.382,22.090,696.842,524.828,-3.907,655.492,607.332,23.912,543.753,388.238,31.437,734.334,377.753,-13.716,15.503,-6.935,3.515
