#{"coordinateSystem":"2d","timestamp":1781289127711,"calibrationWidth":1800,"calibrationHeight":1004,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
1713.000,0.000,900.000,351.400,0.500,0.350,847.069,594.425,-41.945,744.666,528.315,22.408,949.833,537.052,27.006,847.069,594.425,-41.945,780.270,684.237,-12.995,902.870,688.669,-10.098,838.218,784.987,-23.477,744.666,528.315,22.408,949.833,537.052,27.006,-2.724,14.767,-2.911
2694.500,0.000,1749.800,351.400,0.972,0.350,696.449,590.716,-37.790,659.740,536.765,49.543,845.498,525.600,-4.986,696.449,590.716,-37.790,670.099,681.855,6.712,782.389,683.998,-26.680,718.975,780.214,-22.991,659.740,536.765,49.543,845.498,525.600,-4.986,22.777,16.549,4.867
3322.300,0.000,50.200,50.200,0.028,0.050,945.783,578.802,-37.869,806.167,519.319,-1.181,990.229,527.981,48.316,945.783,578.802,-37.869,862.401,677.380,-26.861,973.542,673.798,3.512,926.001,770.532,-27.279,806.167,519.319,-1.181,990.229,527.981,48.316,-23.365,17.956,-3.983
3847.300,0.000,900.000,953.800,0.500,0.950,887.487,660.814,-41.157,767.943,567.957,3.050,972.570,575.280,25.662,887.487,660.814,-41.157,809.714,737.169,-7.079,930.554,736.248,6.477,869.748,826.767,3.872,767.943,567.957,3.050,972.570,575.280,25.662,-10.709,1.615,-2.913
4585.300,0.000,1324.900,50.200,0.736,0.050,775.578,572.382,-40.958,705.748,517.394,39.893,905.897,516.235,12.821,775.578,572.382,-40.958,724.785,666.585,-5.167,845.994,667.576,-21.949,776.546,766.467,-31.242,705.748,517.394,39.893,905.897,516.235,12.821,10.914,18.153,0.520
5296.700,0.000,475.100,652.600,0.264,0.650,922.679,613.548,-40.011,793.580,542.217,3.449,988.820,549.362,41.021,922.679,613.548,-40.011,840.411,702.073,-21.046,957.037,703.997,2.036,898.033,798.371,-17.418,793.580,542.217,3.449,988.820,549.362,41.021,-17.502,12.556,-4.224
6045.300,0.000,1749.800,50.200,0.972,0.050,701.429,565.556,-36.658,668.467,520.285,51.426,852.550,507.957,-1.667,701.429,565.556,-36.658,673.593,659.714,2.658,781.354,660.221,-29.786,717.890,755.905,-31.683,668.467,520.285,51.426,852.550,507.957,-1.667,22.861,20.836,4.974
6736.500,0.000,50.200,351.400,0.028,0.350,921.406,584.461,-39.870,792.638,523.302,4.930,982.066,529.983,43.737,921.406,584.461,-39.870,844.817,678.368,-24.306,956.780,678.575,-0.411,904.948,773.158,-25.728,792.638,523.302,4.930,982.066,529.983,43.737,-18.141,17.134,-3.634
7319.100,0.000,50.200,953.800,0.028,0.950,940.163,670.078,-38.368,815.463,572.023,-9.635,1006.081,582.847,34.119,940.163,670.078,-38.368,850.139,743.215,-11.439,960.074,741.979,14.229,895.859,832.137,7.828,815.463,572.023,-9.635,1006.081,582.847,34.119,-20.447,-0.158,-5.588
8536.400,0.000,1749.800,953.800,0.972,0.950,703.445,638.837,-36.565,664.490,563.027,42.367,841.637,552.744,-14.702,703.445,638.837,-36.565,690.275,716.201,16.093,793.765,718.382,-18.397,743.576,810.099,-0.982,664.490,563.027,42.367,841.637,552.744,-14.702,24.372,5.242,4.492
9587.500,0.000,1749.800,652.600,0.972,0.650,695.735,582.522,-36.868,663.229,531.528,50.137,842.550,512.634,-4.020,695.735,582.522,-36.868,674.684,673.961,5.360,781.638,670.715,-27.837,722.724,767.842,-26.869,663.229,531.528,50.137,842.550,512.634,-4.020,23.376,18.189,7.083
