ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P07,Part A,oneEuro,Low → Med → High,completed,1,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,0,82.30000000000001,349.775,0,0,6.6523,4.6513,4.6513,6.6523,333.96,333.96,756.00,411.50,1089.89,404.65,1119.45,449.80,1089.89,404.65,1105.78,411.50,0,238.4,332289.00,332704.80,332704.80,337356.10,337356.10,337356.10,339357.10
P07,Part A,oneEuro,Low → Med → High,completed,2,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,1,82.30000000000001,349.775,180,1,17.0344,16.4508,15.0326,17.0344,717.46,717.46,1105.78,411.50,388.93,381.78,438.27,437.16,388.93,381.78,406.23,411.50,0,343.0,339873.20,341138.90,341138.90,357589.70,356171.50,356171.50,358173.30
P07,Part A,oneEuro,Low → Med → High,completed,3,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,2,82.30000000000001,349.775,45,2,9.7600,8.9432,7.7583,9.7600,633.32,633.32,406.23,411.50,980.84,677.80,1043.51,653.99,980.84,677.80,1003.33,658.83,3,452.3,358689.50,359363.20,359363.20,368306.40,361964.00,367121.50,369123.20
P07,Part A,oneEuro,Low → Med → High,completed,4,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,3,82.30000000000001,349.775,225,3,14.8927,12.8922,12.8922,14.8927,704.06,704.06,1003.33,658.83,516.47,150.23,544.70,183.51,516.47,150.23,508.67,164.17,1,201.2,369627.80,370821.60,370821.60,383713.80,379658.60,383713.80,385714.30
P07,Part A,oneEuro,Low → Med → High,completed,5,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,4,82.30000000000001,349.775,90,4,27.3305,26.0639,25.3296,27.3305,647.96,647.96,508.67,164.17,767.81,758.06,771.73,799.11,767.81,758.06,756.00,761.27,9,335.2,386223.40,387258.70,387258.70,413322.60,390955.50,412588.30,414589.20
P07,Part A,oneEuro,Low → Med → High,completed,6,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,5,82.30000000000001,349.775,270,5,11.6082,9.5987,9.5987,11.6082,679.56,679.56,756.00,761.27,769.91,81.85,756.69,20.81,769.91,81.85,756.00,61.73,1,149.5,415107.20,416514.70,416514.70,426113.40,424272.20,426113.40,428122.90
P07,Part A,oneEuro,Low → Med → High,completed,7,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,6,82.30000000000001,349.775,135,6,13.3589,12.0507,11.3535,13.3589,616.22,616.22,756.00,61.73,534.31,636.68,537.47,687.87,534.31,636.68,508.67,658.83,3,435.4,428624.30,428913.60,428913.60,440964.30,432842.80,440267.10,442272.50
P07,Part A,oneEuro,Low → Med → High,completed,8,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,0,7,82.30000000000001,349.775,315,7,16.1158,14.1007,14.1007,16.1158,694.76,694.76,508.67,658.83,987.08,155.02,1012.17,204.35,987.08,155.02,1003.33,164.17,4,233.5,442773.50,442790.00,442790.00,456890.70,448829.50,456890.70,458905.80
P07,Part A,oneEuro,Low → Med → High,completed,9,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,0,49.379999999999995,366.23499999999996,0,0,13.5595,11.7018,11.5501,13.5595,374.06,374.06,756.00,411.50,1129.43,389.76,1110.92,433.38,1129.43,389.76,1122.23,411.50,5,471.6,471404.60,472612.40,472612.40,484314.20,474147.10,484162.50,486171.90
P07,Part A,oneEuro,Low → Med → High,completed,10,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,1,49.379999999999995,366.23499999999996,180,1,15.5695,13.9268,14.2076,16.2112,725.65,725.65,1122.23,411.50,396.59,412.28,412.26,403.42,396.59,412.28,389.77,411.50,4,533.1,486675.90,486689.50,487331.20,501258.00,495229.70,500897.10,502900.70
P07,Part A,oneEuro,Low → Med → High,completed,11,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,2,49.379999999999995,366.23499999999996,45,2,15.0317,13.0524,13.0255,15.0317,684.80,684.80,389.77,411.50,1020.15,679.02,1015.50,694.94,1020.15,679.02,1014.97,670.47,4,415.6,503415.30,503712.60,503712.60,516765.00,509536.90,516738.10,518744.30
P07,Part A,oneEuro,Low → Med → High,completed,12,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,3,49.379999999999995,366.23499999999996,225,3,12.0415,10.4258,10.0403,12.0415,736.65,736.65,1014.97,670.47,486.93,156.82,509.12,174.02,486.93,156.82,497.03,152.53,0,411.9,519255.20,519738.20,519738.20,530164.00,529778.50,529778.50,531779.70
P07,Part A,oneEuro,Low → Med → High,completed,13,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,4,49.379999999999995,366.23499999999996,90,4,49.6409,47.6699,47.6308,49.6409,681.84,681.84,497.03,152.53,766.59,778.82,763.15,754.31,766.59,778.82,756.00,777.73,16,397.5,532282.90,533438.60,533438.60,581108.50,539936.60,581069.40,583079.50
P07,Part A,oneEuro,Low → Med → High,completed,14,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,5,49.379999999999995,366.23499999999996,270,5,8.5172,7.1202,6.5081,8.5172,720.87,720.87,756.00,777.73,755.71,56.86,772.58,27.49,755.71,56.86,756.00,45.27,1,234.9,583589.00,584403.20,584403.20,591523.40,589912.20,590911.30,592920.40
P07,Part A,oneEuro,Low → Med → High,completed,15,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,6,49.379999999999995,366.23499999999996,135,6,19.9586,17.9424,17.9424,19.9586,689.14,689.14,756.00,45.27,506.67,687.72,506.88,647.85,506.67,687.72,497.03,670.47,6,617.5,593421.30,593686.00,593686.00,611628.40,597711.00,611628.40,613644.60
P07,Part A,oneEuro,Low → Med → High,completed,16,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",0,oneEuro,interp,8.8118,408.73,1,7,49.379999999999995,366.23499999999996,315,7,13.0671,11.6338,11.0651,13.0671,721.65,721.65,497.03,670.47,1017.65,170.74,991.67,144.38,1017.65,170.74,1014.97,152.53,4,272.3,614154.70,614520.80,614520.80,626154.60,619978.60,625585.90,627587.90
P07,Part A,oneEuro,Low → Med → High,completed,17,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,0,82.30000000000001,349.775,0,0,6.7368,4.7342,4.7544,6.7633,371.25,371.25,756.00,411.50,1126.51,434.93,1066.46,400.44,1126.51,434.93,1105.78,411.50,2,6049.9,668491.00,669515.20,669541.70,674275.90,670916.40,674269.60,676278.50
P07,Part A,oneEuro,Low → Med → High,completed,18,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,1,82.30000000000001,349.775,180,1,12.2593,10.2584,10.2831,12.2840,714.24,714.24,1105.78,411.50,391.55,406.51,447.06,412.30,391.55,406.51,406.23,411.50,0,4198.2,676795.30,677344.50,677369.20,687627.60,687627.60,687627.60,689628.50
P07,Part A,oneEuro,Low → Med → High,completed,19,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,2,82.30000000000001,349.775,45,2,8.5557,6.5543,6.6862,8.6876,657.02,657.02,406.23,411.50,1011.06,668.10,1026.05,625.10,1011.06,668.10,1003.33,658.83,1,4450.9,690136.40,690929.50,691061.40,697615.70,695023.40,697615.70,699617.10
P07,Part A,oneEuro,Low → Med → High,completed,20,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,3,82.30000000000001,349.775,225,3,7.6422,5.6401,5.6565,7.6586,699.46,699.46,1003.33,658.83,506.54,166.44,526.96,201.01,506.54,166.44,508.67,164.17,0,3844.1,700123.70,701474.50,701490.90,707131.00,707131.00,707131.00,709133.10
P07,Part A,oneEuro,Low → Med → High,completed,21,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,4,82.30000000000001,349.775,90,4,7.3627,5.3624,5.4085,7.4088,653.90,653.90,508.67,164.17,763.20,766.50,785.41,789.66,763.20,766.50,756.00,761.27,2,5491.9,709636.70,710357.30,710403.40,715765.80,712524.70,715765.80,717766.10
P07,Part A,oneEuro,Low → Med → High,completed,22,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,5,82.30000000000001,349.775,270,5,12.2258,10.2185,10.2521,12.2594,684.52,684.52,756.00,761.27,762.15,76.78,767.92,101.07,762.15,76.78,756.00,61.73,0,3034.7,718281.70,719015.00,719048.60,729267.10,729267.10,729267.10,731274.40
P07,Part A,oneEuro,Low → Med → High,completed,23,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,6,82.30000000000001,349.775,135,6,8.8433,6.8345,6.9506,8.9594,685.25,685.25,756.00,61.73,502.96,698.55,522.01,620.45,502.96,698.55,508.67,658.83,3,6698.8,731791.30,732757.20,732873.30,739707.80,734440.30,739707.80,741716.60
P07,Part A,oneEuro,Low → Med → High,completed,24,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,0,7,82.30000000000001,349.775,315,7,13.4848,11.4751,11.4752,13.4849,676.87,676.87,508.67,658.83,969.76,163.31,1027.52,131.29,969.76,163.31,1003.33,164.17,1,3346.5,742225.00,742956.40,742956.50,754431.60,753297.80,754431.60,756441.30
P07,Part A,oneEuro,Low → Med → High,completed,25,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,0,49.379999999999995,366.23499999999996,0,0,6.6426,4.6334,4.6665,6.6757,369.94,369.94,756.00,411.50,1125.94,410.59,1108.30,431.41,1125.94,410.59,1122.23,411.50,1,3370.8,773449.10,774248.50,774281.60,778915.00,775991.30,778915.00,780924.20
P07,Part A,oneEuro,Low → Med → High,completed,26,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,1,49.379999999999995,366.23499999999996,180,1,11.2263,9.2346,9.4959,11.5048,728.69,728.69,1122.23,411.50,393.57,405.97,393.56,435.81,393.57,405.97,389.77,411.50,1,4546.2,781434.30,781986.10,782264.60,791499.20,788390.60,791482.00,793490.90
P07,Part A,oneEuro,Low → Med → High,completed,27,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,2,49.379999999999995,366.23499999999996,45,2,6.0179,4.0243,4.0072,6.0179,656.43,656.43,389.77,411.50,994.49,666.87,1034.69,655.71,994.49,666.87,1014.97,670.47,1,4296.5,793995.30,794398.50,794398.50,798422.80,797123.70,798405.70,800416.40
P07,Part A,oneEuro,Low → Med → High,completed,28,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,3,49.379999999999995,366.23499999999996,225,3,9.5330,7.5584,7.5571,9.5658,737.26,737.26,1014.97,670.47,490.26,152.55,515.95,168.20,490.26,152.55,497.03,152.53,0,2056.4,800932.80,800932.80,800965.60,808524.00,808489.90,808489.90,810498.60
P07,Part A,oneEuro,Low → Med → High,completed,29,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,4,49.379999999999995,366.23499999999996,90,4,25.4433,23.4410,23.5418,25.5441,683.28,683.28,497.03,152.53,759.22,783.51,763.44,801.23,759.22,783.51,756.00,777.73,7,5613.5,811015.60,811255.60,811356.40,834797.40,817781.10,834797.40,836799.70
P07,Part A,oneEuro,Low → Med → High,completed,30,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,5,49.379999999999995,366.23499999999996,270,5,23.0506,21.0536,21.0501,23.0506,719.55,719.55,756.00,777.73,765.20,58.24,769.80,24.97,765.20,58.24,756.00,45.27,1,6326.9,837315.00,838148.10,838148.10,859201.70,857073.30,859198.20,861198.70
P07,Part A,oneEuro,Low → Med → High,completed,31,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,6,49.379999999999995,366.23499999999996,135,6,16.9583,14.9486,14.9993,17.0090,659.12,659.12,756.00,45.27,497.18,651.44,499.96,694.71,497.18,651.44,497.03,670.47,3,7100.0,861706.70,861939.30,861990.00,876938.60,868646.90,876938.60,878948.30
P07,Part A,oneEuro,Low → Med → High,timeout_in_progress,,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",1,exponential,interp,8.8118,416.99,1,7,49.379999999999995,366.23499999999996,315,7,60.0893,,,60.1035,640.81,,497.03,670.47,1001.31,275.06,,,,,1014.97,152.53,5,,879451.30,879465.50,,,886472.20,910713.40,
P07,Part A,oneEuro,Low → Med → High,completed,32,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,0,82.30000000000001,349.775,0,0,5.7098,3.7003,3.7003,5.7098,365.15,365.15,756.00,411.50,1121.08,418.22,1135.75,439.26,1121.08,418.22,1105.78,411.50,2,818.9,969327.40,969958.50,969958.50,973658.80,971050.30,973658.80,975668.30
P07,Part A,oneEuro,Low → Med → High,completed,33,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,1,82.30000000000001,349.775,180,1,4.8589,2.8955,2.8575,4.8589,724.11,724.11,1105.78,411.50,381.89,393.70,396.88,451.43,381.89,393.70,406.23,411.50,1,631.0,976171.30,977017.10,977017.10,979912.60,979192.30,979874.60,981876.00
P07,Part A,oneEuro,Low → Med → High,completed,34,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,2,82.30000000000001,349.775,45,2,6.7093,4.7005,4.7005,6.7093,660.52,660.52,406.23,411.50,1016.73,663.64,1017.99,697.26,1016.73,663.64,1003.33,658.83,0,964.8,982384.10,983025.50,983025.50,987726.00,987726.00,987726.00,989734.80
P07,Part A,oneEuro,Low → Med → High,completed,35,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,3,82.30000000000001,349.775,225,3,4.6095,2.8862,2.6088,4.6095,665.82,665.82,1003.33,658.83,543.27,177.51,524.01,200.72,543.27,177.51,508.67,164.17,0,589.8,990243.30,991508.60,991508.60,994394.80,994117.40,994117.40,996118.10
P07,Part A,oneEuro,Low → Med → High,completed,36,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,4,82.30000000000001,349.775,90,4,7.7684,5.7674,6.3587,8.3597,661.50,661.50,508.67,164.17,767.91,772.76,756.92,720.66,767.91,772.76,756.00,761.27,2,4289.8,996634.40,996634.40,997225.70,1002993.10,998941.70,1002993.10,1004994.10
P07,Part A,oneEuro,Low → Med → High,completed,37,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,5,82.30000000000001,349.775,270,5,5.6013,3.9601,3.5998,5.6013,707.29,707.29,756.00,761.27,762.57,54.01,772.19,98.44,762.57,54.01,756.00,61.73,0,244.4,1005509.70,1006724.60,1006724.60,1010684.70,1010324.40,1010324.40,1012325.90
P07,Part A,oneEuro,Low → Med → High,completed,38,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,6,82.30000000000001,349.775,135,6,10.0171,8.0166,8.0166,10.0171,614.63,614.63,756.00,61.73,512.18,625.92,510.43,698.98,512.18,625.92,508.67,658.83,3,1153.1,1012842.80,1013025.90,1013025.90,1021042.50,1016793.10,1021042.50,1023043.00
P07,Part A,oneEuro,Low → Med → High,completed,39,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,7,82.30000000000001,349.775,315,7,17.3918,15.4571,15.3903,17.3918,703.20,703.20,508.67,658.83,1022.95,179.24,1012.62,124.11,1022.95,179.24,1003.33,164.17,6,847.1,1023550.90,1023676.40,1023676.40,1039133.50,1026800.40,1039066.70,1041068.20
P07,Part A,oneEuro,Low → Med → High,completed,40,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,0,49.379999999999995,366.23499999999996,0,0,9.9921,7.9830,7.9830,9.9921,353.56,353.56,756.00,411.50,1109.39,422.65,1097.95,411.53,1109.39,422.65,1122.23,411.50,0,624.2,1064778.00,1065400.40,1065400.40,1073383.40,1073383.40,1073383.40,1075392.50
