ParticipantID,Part,FilterOrder,VarianceOrder,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterType,FilterRank,FilterVariance_px,FilterLatency,TargetSize,Amplitude,NCompleted,NTotal,NTimedOutInProgress,NTimedOutNotAttempted,CompletionRate,MeanMT,Ae,We,IDe,TP,MeanReEntries
P07,Part A,oneEuro,Low → Med → High,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",oneEuro,interp,8.8118,408.73,82.30000000000001,349.775,8,8,0,0,1.0000,14.5941,628.4149,64.8897,3.4174,0.2342,2.63
P07,Part A,oneEuro,Low → Med → High,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",oneEuro,interp,8.8118,408.73,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,18.4233,666.8322,34.7230,4.3366,0.2354,5.00
P07,Part A,oneEuro,Low → Med → High,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",exponential,interp,8.8118,416.99,82.30000000000001,349.775,8,8,0,0,1.0000,9.6388,642.8134,75.5646,3.2490,0.3371,1.13
P07,Part A,oneEuro,Low → Med → High,1,8.811771943180048,1.0707,"Low SD (~8.8) - Interpolated",exponential,interp,8.8118,416.99,49.379999999999995,366.23499999999996,7,8,1,0,0.8750,14.1246,649.3873,138.9059,2.5046,0.1773,2.00
P07,Part A,oneEuro,Low → Med → High,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",oneEuro,interp,27.5689,377.93,82.30000000000001,349.775,8,8,0,0,1.0000,7.8333,637.7767,85.2356,3.0845,0.3938,1.75
P07,Part A,oneEuro,Low → Med → High,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",oneEuro,interp,27.5689,377.93,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,11.3005,657.2906,26.7562,4.6761,0.4138,2.13
P07,Part A,oneEuro,Low → Med → High,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",exponential,interp,27.5689,347.18,82.30000000000001,349.775,8,8,0,0,1.0000,7.7867,624.9796,76.0844,3.2039,0.4115,1.50
P07,Part A,oneEuro,Low → Med → High,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",exponential,interp,27.5689,347.18,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,7.5667,660.9075,29.6268,4.5427,0.6004,1.50
P07,Part A,oneEuro,Low → Med → High,3,46.3259963129846,5.6289,"High SD (~46.3) - Interpolated",oneEuro,interp,46.3260,45.67,82.30000000000001,349.775,8,8,0,0,1.0000,8.8332,637.1708,69.6682,3.3428,0.3784,2.38
P07,Part A,oneEuro,Low → Med → High,3,46.3259963129846,5.6289,"High SD (~46.3) - Interpolated",oneEuro,interp,46.3260,45.67,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,16.4816,661.2392,35.3974,4.2987,0.2608,3.00
P07,Part A,oneEuro,Low → Med → High,3,46.3259963129846,5.6289,"High SD (~46.3) - Interpolated",exponential,interp,46.3260,140.73,82.30000000000001,349.775,8,8,0,0,1.0000,5.2298,615.5454,18.5744,5.0934,0.9739,1.75
P07,Part A,oneEuro,Low → Med → High,3,46.3259963129846,5.6289,"High SD (~46.3) - Interpolated",exponential,interp,46.3260,140.73,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,7.4586,659.7157,23.9781,4.8336,0.6480,2.25
