ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P07,Part B,oneEuro,Low → Med → High,completed,1,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,0,82.30000000000001,349.775,0,0,4.2252,2.2249,2.2243,4.2252,361.91,361.91,756.00,411.50,1117.25,389.73,1145.53,422.11,1117.25,389.73,1105.78,411.50,1,451.0,1776605.10,1777436.80,1777436.80,1779661.70,1778303.60,1779661.10,1781662.00
P07,Part B,oneEuro,Low → Med → High,completed,2,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,1,82.30000000000001,349.775,180,1,4.9104,2.9099,2.9099,4.9104,705.06,705.06,1105.78,411.50,400.73,415.38,365.35,415.43,400.73,415.38,406.23,411.50,1,544.2,1782171.00,1782318.90,1782318.90,1785228.80,1783936.60,1785228.80,1787229.30
P07,Part B,oneEuro,Low → Med → High,completed,3,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,2,82.30000000000001,349.775,45,2,6.1760,4.1760,4.1760,6.1760,623.68,623.68,406.23,411.50,981.12,653.30,1040.01,641.81,981.12,653.30,1003.33,658.83,1,1316.9,1787744.20,1788352.50,1788352.50,1792528.50,1789660.20,1792528.50,1794528.50
P07,Part B,oneEuro,Low → Med → High,completed,4,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,3,82.30000000000001,349.775,225,3,10.7511,8.7498,8.7497,10.7511,692.68,692.68,1003.33,658.83,517.02,165.57,529.68,199.38,517.02,165.57,508.67,164.17,1,360.5,1795037.80,1795277.60,1795277.60,1804027.40,1800435.70,1804027.30,1806028.70
P07,Part B,oneEuro,Low → Med → High,completed,5,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,4,82.30000000000001,349.775,90,4,9.4560,7.4549,7.5074,9.5085,643.24,643.24,508.67,164.17,767.57,753.01,734.72,726.40,767.57,753.01,756.00,761.27,2,891.2,1806545.20,1806545.30,1806597.80,1814052.70,1810394.60,1814052.70,1816053.80
P07,Part B,oneEuro,Low → Med → High,completed,6,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,5,82.30000000000001,349.775,270,5,8.0174,6.0076,6.0075,8.0174,712.47,712.47,756.00,761.27,771.82,48.98,725.76,87.83,771.82,48.98,756.00,61.73,1,367.6,1816570.40,1817169.50,1817169.50,1823177.10,1820835.70,1823177.00,1825186.90
P07,Part B,oneEuro,Low → Med → High,completed,7,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,6,82.30000000000001,349.775,135,6,7.0384,5.0311,5.0678,7.0751,631.86,631.86,756.00,61.73,520.56,648.08,511.62,617.96,520.56,648.08,508.67,658.83,1,2659.6,1825694.80,1825968.50,1826005.20,1831036.30,1827335.10,1831036.30,1833043.60
P07,Part B,oneEuro,Low → Med → High,completed,8,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,0,7,82.30000000000001,349.775,315,7,5.9261,3.9264,3.9425,5.9425,688.01,688.01,508.67,658.83,995.28,172.45,1014.05,125.34,995.28,172.45,1003.33,164.17,1,911.9,1833549.00,1834402.00,1834418.40,1838344.80,1836978.80,1838344.50,1840344.50
P07,Part B,oneEuro,Low → Med → High,completed,9,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,0,49.379999999999995,366.23499999999996,0,0,9.3205,7.3181,7.3181,9.3205,374.00,374.00,756.00,411.50,1129.41,390.54,1131.82,434.23,1129.41,390.54,1122.23,411.50,2,475.9,1851461.00,1852160.30,1852160.30,1859478.40,1855926.80,1859478.40,1861480.80
P07,Part B,oneEuro,Low → Med → High,completed,10,2,27.568884128082324,3.3498,"Medium SD (~27.6) - Interpolated",0,oneEuro,interp,27.5689,377.93,1,1,49.379999999999995,366.23499999999996,180,1,8.0179,6.0179,6.0179,8.0179,731.24,731.24,1122.23,411.50,391.36,434.69,371.23,396.66,391.36,434.69,389.77,411.50,3,1252.0,1861996.30,1862618.90,1862618.90,1868636.80,1864652.40,1868636.80,1870636.80
