ParticipantID,Part,FilterOrder,VarianceOrder,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterType,FilterRank,FilterVariance_px,FilterLatency,TargetSize,Amplitude,NCompleted,NTotal,NTimedOutInProgress,NTimedOutNotAttempted,CompletionRate,MeanMT,Ae,We,IDe,TP,MeanReEntries
P08,Part A,oneEuro,Low → High → Med,1,5.113399233710242,0.6213,"Low SD (~5.1) - Interpolated",oneEuro,interp,5.1134,2552.53,82.30000000000001,349.775,8,8,0,0,1.0000,10.6488,627.4308,79.6978,3.1494,0.2957,1.38
P08,Part A,oneEuro,Low → High → Med,1,5.113399233710242,0.6213,"Low SD (~5.1) - Interpolated",oneEuro,interp,5.1134,2552.53,49.379999999999995,366.23499999999996,4,5,1,0,0.8000,15.4571,826.7352,1078.9737,0.8207,0.0531,2.75
P08,Part A,oneEuro,Low → High → Med,1,5.113399233710242,0.6213,"Low SD (~5.1) - Interpolated",exponential,interp,5.1134,2995.91,82.30000000000001,349.775,2,3,1,0,0.6667,18.3330,582.0251,106.9516,2.6875,0.1466,3.50
P08,Part A,oneEuro,Low → High → Med,1,5.113399233710242,0.6213,"Low SD (~5.1) - Interpolated",exponential,interp,5.1134,2995.91,49.379999999999995,366.23499999999996,6,7,1,0,0.8571,23.7499,640.5747,165.0148,2.2874,0.0963,5.00
P08,Part A,oneEuro,Low → High → Med,3,51.66344975550657,6.2775,"High SD (~51.7) - Interpolated",oneEuro,interp,51.6634,5.99,82.30000000000001,349.775,8,8,0,0,1.0000,7.4441,623.9027,67.5202,3.3562,0.4509,2.75
P08,Part A,oneEuro,Low → High → Med,3,51.66344975550657,6.2775,"High SD (~51.7) - Interpolated",oneEuro,interp,51.6634,5.99,49.379999999999995,366.23499999999996,1,2,1,0,0.5000,22.8179,563.4703,48.3684,3.6610,0.1604,6.00
P08,Part A,oneEuro,Low → High → Med,3,51.66344975550657,6.2775,"High SD (~51.7) - Interpolated",exponential,interp,51.6634,3.45,82.30000000000001,349.775,6,7,1,0,0.8571,23.5845,635.6687,44.8380,3.9238,0.1664,14.50
P08,Part A,oneEuro,Low → High → Med,3,51.66344975550657,6.2775,"High SD (~51.7) - Interpolated",exponential,interp,51.6634,3.45,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,17.8183,666.8907,34.4408,4.3479,0.2440,11.50
P08,Part A,oneEuro,Low → High → Med,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",oneEuro,interp,28.3884,315.50,82.30000000000001,349.775,8,8,0,0,1.0000,10.2101,627.7641,70.1831,3.3139,0.3246,2.25
P08,Part A,oneEuro,Low → High → Med,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",oneEuro,interp,28.3884,315.50,49.379999999999995,366.23499999999996,8,8,0,0,1.0000,13.6533,665.2024,45.2807,3.9718,0.2909,4.38
P08,Part A,oneEuro,Low → High → Med,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",exponential,interp,28.3884,483.11,82.30000000000001,349.775,8,8,0,0,1.0000,12.8320,640.6692,78.6796,3.1926,0.2488,4.63
P08,Part A,oneEuro,Low → High → Med,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",exponential,interp,28.3884,483.11,49.379999999999995,366.23499999999996,6,7,1,0,0.8571,23.6060,652.5517,88.5868,3.0646,0.1298,9.67
