ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P08,Part B,oneEuro,Low → High → Med,completed,1,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,0,82.30000000000001,349.775,0,0,4.0165,2.0150,2.0150,4.0165,365.67,365.67,756.00,411.50,1121.46,399.22,1145.98,417.61,1121.46,399.22,1105.78,411.50,0,1082.8,2373223.10,2373981.70,2373981.70,2375996.70,2375996.70,2375996.70,2377998.20
P08,Part B,oneEuro,Low → High → Med,completed,2,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,1,82.30000000000001,349.775,180,1,3.5342,1.5235,1.9240,3.9347,684.84,684.84,1105.78,411.50,421.41,386.11,367.63,420.33,421.41,386.11,406.23,411.50,1,1777.6,2378506.50,2378622.00,2379022.50,2380546.00,2379456.20,2380546.00,2382556.70
P08,Part B,oneEuro,Low → High → Med,completed,3,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,2,82.30000000000001,349.775,45,2,4.0838,2.0741,2.6609,4.6706,645.90,645.90,406.23,411.50,1016.12,624.12,989.35,620.86,1016.12,624.12,1003.33,658.83,0,1762.0,2383057.60,2383060.60,2383647.40,2385721.50,2385721.50,2385721.50,2387731.20
P08,Part B,oneEuro,Low → High → Med,completed,4,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,3,82.30000000000001,349.775,225,3,6.9004,4.8914,5.6390,7.6480,709.93,709.93,1003.33,658.83,511.64,146.73,549.41,167.75,511.64,146.73,508.67,164.17,1,1258.1,2388238.70,2388241.30,2388988.90,2393880.30,2391222.50,2393880.30,2395889.30
P08,Part B,oneEuro,Low → High → Med,completed,5,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,4,82.30000000000001,349.775,90,4,13.5513,11.5499,11.5499,13.5513,663.82,663.82,508.67,164.17,740.43,786.22,794.81,751.49,740.43,786.22,756.00,761.27,5,2076.4,2396397.30,2397162.90,2397162.90,2408712.80,2400413.10,2408712.80,2410714.20
P08,Part B,oneEuro,Low → High → Med,completed,6,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,5,82.30000000000001,349.775,270,5,12.6417,10.6336,10.6336,12.6417,710.69,710.69,756.00,761.27,772.98,50.78,789.92,38.82,772.98,50.78,756.00,61.73,8,1508.5,2411232.20,2412039.00,2412039.00,2422672.60,2413163.00,2422672.60,2424680.70
P08,Part B,oneEuro,Low → High → Med,completed,7,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,6,82.30000000000001,349.775,135,6,12.3104,10.3013,10.3013,12.3104,627.40,627.40,756.00,61.73,508.50,638.25,533.75,627.19,508.50,638.25,508.67,658.83,5,1029.0,2425190.00,2426087.80,2426087.80,2436389.10,2427419.90,2436389.10,2438398.20
P08,Part B,oneEuro,Low → High → Med,completed,8,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,0,7,82.30000000000001,349.775,315,7,10.3837,8.3819,8.3819,10.3837,711.99,711.99,508.67,658.83,1003.43,146.83,1027.53,131.77,1003.43,146.83,1003.33,164.17,3,2861.7,2438915.20,2439530.80,2439530.80,2447912.70,2442746.20,2447912.70,2449914.50
P08,Part B,oneEuro,Low → High → Med,completed,9,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,0,49.379999999999995,366.23499999999996,0,0,6.2334,4.2323,4.2323,6.2334,368.85,368.85,756.00,411.50,1124.72,401.69,1104.00,427.08,1124.72,401.69,1122.23,411.50,0,1219.0,2470547.30,2471280.10,2471280.10,2475512.40,2475512.40,2475512.40,2477513.50
P08,Part B,oneEuro,Low → High → Med,completed,10,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,1,49.379999999999995,366.23499999999996,180,1,12.7507,10.7412,10.8419,12.8514,726.25,726.25,1122.23,411.50,396.12,397.63,412.90,412.97,396.12,397.63,389.77,411.50,3,3531.0,2478029.40,2478045.50,2478146.20,2488887.40,2484054.20,2488887.40,2490896.90
P08,Part B,oneEuro,Low → High → Med,completed,11,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,2,49.379999999999995,366.23499999999996,45,2,19.9764,17.9670,18.5747,20.5841,691.48,691.48,389.77,411.50,1031.70,668.54,991.12,674.98,1031.70,668.54,1014.97,670.47,6,1171.7,2491412.90,2491413.00,2492020.70,2509987.70,2494853.80,2509987.70,2511997.10
P08,Part B,oneEuro,Low → High → Med,completed,12,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,3,49.379999999999995,366.23499999999996,225,3,7.6103,5.6083,5.6083,7.6103,720.12,720.12,1014.97,670.47,508.00,159.04,479.95,134.81,508.00,159.04,497.03,152.53,3,1135.1,2512513.40,2513170.00,2513170.00,2518778.30,2514320.60,2518778.30,2520780.30
P08,Part B,oneEuro,Low → High → Med,completed,13,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,4,49.379999999999995,366.23499999999996,90,4,10.7352,8.7252,9.0243,11.0343,674.04,674.04,497.03,152.53,766.13,770.53,778.84,770.00,766.13,770.53,756.00,777.73,4,1830.4,2521281.40,2521621.40,2521920.50,2530645.70,2523278.90,2530645.70,2532655.70
P08,Part B,oneEuro,Low → High → Med,completed,14,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,5,49.379999999999995,366.23499999999996,270,5,19.2721,17.2620,17.7445,19.7546,731.35,731.35,756.00,777.73,755.43,46.38,740.85,62.46,755.43,46.38,756.00,45.27,8,1752.1,2533171.60,2533171.70,2533654.20,2550916.20,2537526.00,2550916.20,2552926.30
P08,Part B,oneEuro,Low → High → Med,completed,15,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,6,49.379999999999995,366.23499999999996,135,6,13.6424,11.6324,11.6325,13.6425,685.03,685.03,756.00,45.27,500.02,680.67,487.59,693.17,500.02,680.67,497.03,670.47,7,2545.6,2553444.10,2554158.40,2554158.50,2565790.90,2557716.00,2565790.90,2567800.90
P08,Part B,oneEuro,Low → High → Med,completed,16,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",0,oneEuro,interp,28.3884,315.50,1,7,49.379999999999995,366.23499999999996,315,7,14.8764,12.8677,12.8673,14.8764,735.83,735.83,497.03,670.47,1023.95,156.85,1028.52,132.32,1023.95,156.85,1014.97,152.53,5,1881.7,2568317.90,2568865.80,2568865.80,2581733.50,2573158.50,2581733.10,2583742.20
P08,Part B,oneEuro,Low → High → Med,completed,17,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",1,exponential,interp,28.3884,483.11,0,0,82.30000000000001,349.775,0,0,3.9265,1.9264,1.9412,3.9413,360.04,360.04,756.00,411.50,1115.71,396.07,1109.88,451.65,1115.71,396.07,1105.78,411.50,2,18111.8,2604741.70,2605333.80,2605348.60,2607275.00,2605675.20,2607275.00,2609275.10
P08,Part B,oneEuro,Low → High → Med,completed,18,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",1,exponential,interp,28.3884,483.11,0,1,82.30000000000001,349.775,180,1,10.6102,8.6084,8.6406,10.6424,703.99,703.99,1105.78,411.50,402.19,387.53,377.05,434.92,402.19,387.53,406.23,411.50,5,39809.1,2609792.80,2610367.40,2610399.60,2619008.00,2611490.50,2619008.00,2621009.80
P08,Part B,oneEuro,Low → High → Med,completed,19,2,28.388424494608405,3.4494,"Medium SD (~28.4) - Interpolated",1,exponential,interp,28.3884,483.11,0,2,82.30000000000001,349.775,45,2,6.2101,4.1999,4.2000,6.2102,640.10,640.10,406.23,411.50,989.66,674.82,978.82,691.57,989.66,674.82,1003.33,658.83,1,14180.8,2621519.80,2622190.30,2622190.40,2626390.30,2623399.00,2626390.30,2628400.50
