ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P05,Part A,exponential,High → Low → Med,completed,1,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,0,95,237.5,0,0,2.1321,0.4609,0.1162,2.1321,211.96,211.96,912.50,475.00,1124.38,480.76,1127.21,441.38,1124.38,480.76,1150.00,475.00,0,1491.4,282202.30,282909.80,282909.80,283370.70,283026.00,283026.00,285041.90
P05,Part A,exponential,High → Low → Med,completed,2,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,1,95,237.5,180,1,3.6175,1.6164,1.6164,3.6175,447.53,447.53,1150.00,475.00,702.48,472.65,709.28,507.67,702.48,472.65,675.00,475.00,1,2081.6,285544.90,286043.00,286043.00,287659.40,287359.80,287659.40,289660.50
P05,Part A,exponential,High → Low → Med,completed,3,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,2,95,237.5,45,2,3.7989,2.2400,1.7919,3.7988,424.18,424.18,675.00,475.00,1064.66,642.62,1046.84,673.30,1064.66,642.62,1080.44,642.94,1,1064.3,290167.70,290794.00,290793.90,293033.90,292234.00,292585.90,294592.80
P05,Part A,exponential,High → Low → Med,completed,4,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,3,95,237.5,225,3,3.8359,2.9027,1.8291,3.8359,461.85,461.85,1080.44,642.94,751.73,318.51,762.97,348.29,751.73,318.51,744.56,307.06,0,778.5,295093.80,295701.60,295701.60,298604.30,297530.70,297530.70,299537.50
P05,Part A,exponential,High → Low → Med,completed,5,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,4,95,237.5,90,4,3.1921,1.4077,1.1759,3.1921,419.31,419.31,744.56,307.06,911.97,691.51,868.87,729.57,911.97,691.51,912.50,712.50,0,1199.7,300052.40,300567.30,300567.30,301975.00,301743.20,301743.20,303759.40
P05,Part A,exponential,High → Low → Med,completed,6,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,5,95,237.5,270,5,2.8072,1.1065,0.7912,2.8072,467.10,467.10,912.50,712.50,919.92,245.46,914.92,283.79,919.92,245.46,912.50,237.50,0,898.9,304276.70,304909.60,304909.60,306016.10,305700.80,305700.80,307716.80
P05,Part A,exponential,High → Low → Med,completed,7,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,6,95,237.5,135,6,3.3405,1.6849,1.3255,3.3405,450.36,450.36,912.50,237.50,746.63,656.20,786.19,627.48,746.63,656.20,744.56,642.94,1,1403.0,308218.70,308942.10,308942.10,310627.00,309676.40,310267.60,312282.60
P05,Part A,exponential,High → Low → Med,completed,8,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,0,7,95,237.5,315,7,3.6248,1.8738,1.6090,3.6248,455.22,455.22,744.56,642.94,1075.24,330.08,1041.79,331.97,1075.24,330.08,1080.44,307.06,2,1191.6,312793.80,313434.20,313434.20,315308.00,313884.70,315043.20,317059.00
P05,Part A,exponential,High → Low → Med,completed,9,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,0,95,403.75,0,0,3.4596,1.4429,1.5586,3.5753,394.60,394.60,912.50,475.00,1307.10,473.39,1280.29,445.02,1307.10,473.39,1316.25,475.00,1,11603.3,324382.60,325067.90,325183.60,326626.50,325976.40,326626.50,328643.20
P05,Part A,exponential,High → Low → Med,completed,10,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,1,95,403.75,180,1,3.2004,1.1913,1.1913,3.2004,816.87,816.87,1316.25,475.00,500.18,511.13,513.16,522.15,500.18,511.13,508.75,475.00,1,13012.6,329159.50,329709.60,329709.60,330900.90,330542.70,330900.90,332910.00
P05,Part A,exponential,High → Low → Med,completed,11,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,2,95,403.75,45,2,3.2493,1.2493,1.3837,3.3837,749.61,749.61,508.75,475.00,1208.66,743.41,1199.93,715.83,1208.66,743.41,1197.99,760.49,0,27612.1,333419.80,334012.80,334147.20,335396.50,335396.50,335396.50,337396.50
P05,Part A,exponential,High → Low → Med,completed,12,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,3,95,403.75,225,3,3.7766,1.7674,1.9658,3.9750,786.19,786.19,1197.99,760.49,636.92,209.78,634.80,143.12,636.92,209.78,627.01,189.51,2,13113.6,337912.20,338651.00,338849.40,340616.80,339893.20,340616.80,342626.00
P05,Part A,exponential,High → Low → Med,completed,13,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,4,95,403.75,90,4,2.8989,0.9157,1.0926,3.0998,758.09,758.09,627.01,189.51,922.82,887.50,872.40,854.74,922.82,887.50,912.50,878.75,0,19506.3,343136.50,343759.50,343960.40,344876.10,344852.10,344852.10,346859.30
P05,Part A,exponential,High → Low → Med,completed,14,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,5,95,403.75,270,5,3.4026,1.4182,1.4923,3.4946,794.85,794.85,912.50,878.75,931.26,84.12,907.54,115.56,931.26,84.12,912.50,71.25,0,17091.3,347361.20,348175.80,348267.80,349686.00,349668.10,349668.10,351670.40
P05,Part A,exponential,High → Low → Med,completed,15,3,17.64569843627472,1.8574,"High SD (~17.6) - Interpolated",0,exponential,interp,17.6457,57.04,1,6,95,403.75,135,6,4.0890,2.0818,2.2005,4.2077,743.98,743.98,912.50,71.25,631.56,760.14,661.58,732.20,631.56,760.14,627.01,760.49,1,19593.9,352175.50,352749.80,352868.50,354950.30,353993.00,354950.30,356957.50
