ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P05,Part B,exponential,High → Low → Med,completed,1,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,0,95,237.5,0,0,2.6979,0.6884,0.6949,2.7044,227.59,227.59,912.50,475.00,1139.75,462.57,1134.20,434.01,1139.75,462.57,1150.00,475.00,0,4808.2,1775514.90,1776353.10,1776359.60,1777048.00,1777048.00,1777048.00,1779057.50
P05,Part B,exponential,High → Low → Med,completed,2,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,1,95,237.5,180,1,4.0505,2.0495,2.0495,4.0505,479.84,479.84,1150.00,475.00,670.17,478.25,661.73,519.04,670.17,478.25,675.00,475.00,1,9323.2,1779575.00,1780316.80,1780316.80,1782366.30,1781499.20,1782366.30,1784367.30
P05,Part B,exponential,High → Low → Med,completed,3,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,2,95,237.5,45,2,3.7507,1.7419,1.7904,3.7992,423.12,423.12,675.00,475.00,1067.23,633.71,1044.16,614.02,1067.23,633.71,1080.44,642.94,0,7336.7,1784876.40,1785666.60,1785715.10,1787457.00,1787457.00,1787457.00,1789465.80
P05,Part B,exponential,High → Low → Med,completed,4,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,3,95,237.5,225,3,3.5083,1.5080,1.5076,3.5083,475.87,475.87,1080.44,642.94,749.15,301.32,730.36,352.19,749.15,301.32,744.56,307.06,0,7268.3,1789982.20,1790799.40,1790799.40,1792307.40,1792307.00,1792307.00,1794307.70
P05,Part B,exponential,High → Low → Med,completed,5,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,4,95,237.5,90,4,4.5592,2.5585,2.5585,4.5592,442.42,442.42,744.56,307.06,922.45,712.14,916.73,665.38,922.45,712.14,912.50,712.50,2,7169.7,1794818.40,1795574.60,1795574.60,1798133.10,1796681.70,1798133.10,1800133.80
P05,Part B,exponential,High → Low → Med,completed,6,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,5,95,237.5,270,5,4.0813,2.0739,2.0739,4.0813,460.25,460.25,912.50,712.50,901.47,252.38,891.12,279.77,901.47,252.38,912.50,237.50,1,13072.2,1800646.30,1801462.70,1801462.70,1803536.60,1802262.60,1803536.60,1805544.00
P05,Part B,exponential,High → Low → Med,completed,7,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,6,95,237.5,135,6,3.1414,1.1334,1.1486,3.1566,438.58,438.58,912.50,237.50,743.81,642.34,709.05,612.07,743.81,642.34,744.56,642.94,0,11715.0,1806053.10,1806854.20,1806869.40,1808002.80,1808002.80,1808002.80,1810010.80
P05,Part B,exponential,High → Low → Med,completed,8,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,0,7,95,237.5,315,7,3.0427,1.0423,1.0589,3.0593,455.76,455.76,744.56,642.94,1059.58,313.57,1050.82,338.60,1059.58,313.57,1080.44,307.06,0,8907.4,1810528.90,1811390.20,1811406.80,1812449.10,1812449.10,1812449.10,1814449.50
P05,Part B,exponential,High → Low → Med,completed,9,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,1,0,95,403.75,0,0,3.9664,1.9664,1.9664,3.9664,392.55,392.55,912.50,475.00,1303.76,443.22,1347.72,440.23,1303.76,443.22,1316.25,475.00,1,6985.1,1820518.90,1821403.70,1821403.70,1823370.10,1822661.90,1823370.10,1825370.10
P05,Part B,exponential,High → Low → Med,completed,10,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",0,exponential,interp,9.6598,575.66,1,1,95,403.75,180,1,5.1379,3.1376,3.1570,5.1573,838.09,838.09,1316.25,475.00,478.24,462.95,462.34,471.84,478.24,462.95,508.75,475.00,0,12389.9,1825888.80,1826649.00,1826668.40,1829806.00,1829806.00,1829806.00,1831806.30
