ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P10,Part A,oneEuro,Med → High → Low,completed,1,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,0,82.30000000000001,349.775,0,0,3.3593,1.3587,1.3587,3.3593,353.32,353.32,756.00,411.50,1108.19,383.20,1142.33,393.67,1108.19,383.20,1105.78,411.50,1,1171.9,259397.30,259878.30,259878.30,261237.00,260328.60,261237.00,263237.60
P10,Part A,oneEuro,Med → High → Low,completed,2,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,1,82.30000000000001,349.775,180,1,3.5284,1.8339,1.5504,3.5632,696.59,696.59,1105.78,411.50,409.19,411.62,368.21,418.33,409.19,411.62,406.23,411.50,1,1870.1,263741.10,264218.40,264253.20,266087.10,264916.60,265768.80,267781.60
P10,Part A,oneEuro,Med → High → Low,completed,3,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,2,82.30000000000001,349.775,45,2,3.0127,1.3192,0.9859,3.0127,642.72,642.72,406.23,411.50,1004.21,647.11,1011.36,619.23,1004.21,647.11,1003.33,658.83,0,1219.9,268286.80,268526.00,268526.00,269845.20,269511.90,269511.90,271538.70
P10,Part A,oneEuro,Med → High → Low,completed,4,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,3,82.30000000000001,349.775,225,3,3.4330,1.8490,1.4315,3.4330,688.88,688.88,1003.33,658.83,496.19,192.61,472.38,150.34,496.19,192.61,508.67,164.17,0,1811.1,272054.90,272055.00,272055.00,273904.00,273486.50,273486.50,275488.00
P10,Part A,oneEuro,Med → High → Low,completed,5,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,4,82.30000000000001,349.775,90,4,3.2933,1.5168,1.2835,3.2933,634.45,634.45,508.67,164.17,770.39,742.13,790.86,771.26,770.39,742.13,756.00,761.27,0,1756.4,275995.10,276011.20,276011.20,277528.00,277294.70,277294.70,279304.50
P10,Part A,oneEuro,Med → High → Low,completed,6,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,5,82.30000000000001,349.775,270,5,3.7348,2.0573,1.7221,3.7346,682.35,682.35,756.00,761.27,754.27,78.92,760.79,102.02,754.27,78.92,756.00,61.73,1,1444.7,279808.60,279822.60,279822.40,281879.70,280928.70,281544.70,283557.20
P10,Part A,oneEuro,Med → High → Low,completed,7,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,6,82.30000000000001,349.775,135,6,2.8888,1.2482,0.8886,2.8888,629.41,629.41,756.00,61.73,496.01,634.93,517.16,619.92,496.01,634.93,508.67,658.83,0,1149.4,284064.60,284069.00,284069.00,285317.20,284957.60,284957.60,286957.80
P10,Part A,oneEuro,Med → High → Low,completed,8,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,7,82.30000000000001,349.775,315,7,3.7511,2.1764,1.7444,3.7511,694.11,694.11,508.67,658.83,991.20,159.87,1043.46,168.92,991.20,159.87,1003.33,164.17,1,954.5,287462.70,287476.60,287476.60,289653.00,288680.70,289221.00,291227.70
P10,Part A,oneEuro,Med → High → Low,completed,9,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,0,49.379999999999995,366.23499999999996,0,0,2.6613,0.8525,0.6577,2.6613,349.19,349.19,756.00,411.50,1105.08,403.05,1103.73,400.55,1105.08,403.05,1122.23,411.50,0,1017.7,295426.20,295756.90,295756.90,296609.40,296414.60,296414.60,298418.20
P10,Part A,oneEuro,Med → High → Low,completed,10,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,1,49.379999999999995,366.23499999999996,180,1,3.0067,0.9992,0.9992,3.0067,729.02,729.02,1122.23,411.50,393.35,397.43,368.56,400.24,393.35,397.43,389.77,411.50,1,1862.0,298919.80,298933.40,298933.40,299932.60,299306.70,299932.60,301940.10
