ParticipantID,Part,FilterOrder,VarianceOrder,Status,GlobalTrialNumber,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance_px,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,KinematicMT,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
P10,Part B,oneEuro,Med → High → Low,completed,1,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,0,82.30000000000001,349.775,0,0,6.2825,4.2765,4.2765,6.2825,333.14,333.14,756.00,411.50,1089.06,418.72,1070.93,398.05,1089.06,418.72,1105.78,411.50,2,927.0,867949.00,868049.00,868049.00,872325.50,868489.90,872325.50,874331.50
P10,Part B,oneEuro,Med → High → Low,completed,2,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,1,82.30000000000001,349.775,180,1,2.4666,0.4648,0.4648,2.4666,680.50,680.50,1105.78,411.50,425.29,407.74,439.57,428.95,425.29,407.74,406.23,411.50,0,5131.5,874840.40,874841.70,874841.70,875306.50,875306.50,875306.50,877308.30
P10,Part B,oneEuro,Med → High → Low,completed,3,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,2,82.30000000000001,349.775,45,2,4.5776,2.5675,2.5675,4.5776,666.32,666.32,406.23,411.50,1014.09,684.43,1000.77,618.60,1014.09,684.43,1003.33,658.83,2,1286.0,877815.60,877830.60,877830.60,880398.10,878531.30,880398.10,882408.20
P10,Part B,oneEuro,Med → High → Low,completed,4,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,3,82.30000000000001,349.775,225,3,3.4644,1.4634,1.4634,3.4644,687.59,687.59,1003.33,658.83,516.66,173.09,499.93,203.68,516.66,173.09,508.67,164.17,0,1988.3,882917.40,882917.50,882917.50,884380.90,884380.90,884380.90,886381.90
P10,Part B,oneEuro,Med → High → Low,completed,5,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,4,82.30000000000001,349.775,90,4,3.9970,1.9871,1.9884,3.9983,648.65,648.65,508.67,164.17,768.59,758.46,787.25,788.02,768.59,758.46,756.00,761.27,1,491.2,886891.60,886892.90,886894.20,888881.30,887696.30,888881.30,890891.20
P10,Part B,oneEuro,Med → High → Low,completed,6,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,5,82.30000000000001,349.775,270,5,6.0048,3.9956,3.9956,6.0048,707.23,707.23,756.00,761.27,744.47,54.14,768.55,99.58,744.47,54.14,756.00,61.73,2,1405.5,891399.60,891402.20,891402.20,895397.80,892231.70,895397.80,897407.00
P10,Part B,oneEuro,Med → High → Low,completed,7,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,6,82.30000000000001,349.775,135,6,2.5341,0.5307,0.5332,2.5366,624.59,624.59,756.00,61.73,530.54,644.20,534.74,628.34,530.54,644.20,508.67,658.83,0,986.2,897923.50,897923.60,897926.10,898456.80,898456.80,898456.80,900460.20
P10,Part B,oneEuro,Med → High → Low,completed,8,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,0,7,82.30000000000001,349.775,315,7,3.0993,1.0995,1.1005,3.1007,708.88,708.88,508.67,658.83,1015.93,163.65,987.94,197.34,1015.93,163.65,1003.33,164.17,0,1353.3,900973.00,900973.00,900974.40,902073.90,902073.50,902073.50,904073.70
P10,Part B,oneEuro,Med → High → Low,completed,9,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,0,49.379999999999995,366.23499999999996,0,0,4.1836,2.1812,2.1812,4.1836,356.39,356.39,756.00,411.50,1112.38,414.14,1099.04,403.25,1112.38,414.14,1122.23,411.50,2,849.9,909048.40,909349.00,909349.00,911530.20,909763.80,911530.20,913532.60
P10,Part B,oneEuro,Med → High → Low,completed,10,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,1,49.379999999999995,366.23499999999996,180,1,3.3484,1.3466,1.3466,3.3484,717.79,717.79,1122.23,411.50,404.45,413.78,411.81,420.05,404.45,413.78,389.77,411.50,0,1290.1,914040.90,914042.20,914042.20,915388.80,915388.80,915388.80,917390.60
P10,Part B,oneEuro,Med → High → Low,completed,11,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,2,49.379999999999995,366.23499999999996,45,2,3.6645,1.6548,1.6586,3.6683,684.77,684.77,389.77,411.50,1020.53,678.04,1038.21,662.90,1020.53,678.04,1014.97,670.47,0,1420.6,917905.20,917905.40,917909.20,919564.00,919564.00,919564.00,921573.70
P10,Part B,oneEuro,Med → High → Low,completed,12,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,3,49.379999999999995,366.23499999999996,225,3,6.5365,4.5268,4.5316,6.5413,738.81,738.81,1014.97,670.47,488.82,151.81,516.01,168.31,488.82,151.81,497.03,152.53,1,1465.0,922089.40,922090.00,922094.80,926621.60,923906.50,926621.60,928631.30
P10,Part B,oneEuro,Med → High → Low,completed,13,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,4,49.379999999999995,366.23499999999996,90,4,3.7097,1.7089,1.7122,3.7135,657.83,657.83,497.03,152.53,753.42,758.34,768.48,798.57,753.42,758.34,756.00,777.73,0,1406.0,929146.70,929146.80,929150.60,930859.50,930859.00,930859.00,932860.30
P10,Part B,oneEuro,Med → High → Low,completed,14,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,5,49.379999999999995,366.23499999999996,270,5,3.2294,1.2275,1.2326,3.2345,720.89,720.89,756.00,777.73,770.91,56.99,776.57,31.96,770.91,56.99,756.00,45.27,0,1480.5,933372.40,933372.40,933377.50,934605.00,934605.00,934605.00,936606.90
P10,Part B,oneEuro,Med → High → Low,completed,15,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,6,49.379999999999995,366.23499999999996,135,6,3.5894,1.5817,1.5834,3.5924,663.94,663.94,756.00,45.27,510.95,662.33,512.22,651.17,510.95,662.33,497.03,670.47,0,484.4,937122.80,937122.80,937125.80,938707.50,938706.20,938706.20,940715.20
P10,Part B,oneEuro,Med → High → Low,completed,16,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",0,oneEuro,interp,7.9506,528.80,1,7,49.379999999999995,366.23499999999996,315,7,4.0307,2.0301,2.0300,4.0307,735.83,735.83,497.03,670.47,1027.01,160.00,1033.67,166.77,1027.01,160.00,1014.97,152.53,1,743.1,941223.50,941226.20,941226.20,943256.30,942497.70,943256.20,945256.90
P10,Part B,oneEuro,Med → High → Low,completed,17,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,0,82.30000000000001,349.775,0,0,2.5898,0.5799,0.5983,2.6082,362.90,362.90,756.00,411.50,1118.78,420.83,1080.28,441.85,1118.78,420.83,1105.78,411.50,0,10064.6,954752.40,955036.20,955054.60,955634.50,955634.50,955634.50,957644.40
P10,Part B,oneEuro,Med → High → Low,completed,18,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,1,82.30000000000001,349.775,180,1,3.4850,1.4841,1.4841,3.4850,685.15,685.15,1105.78,411.50,420.76,398.12,447.01,406.83,420.76,398.12,406.23,411.50,0,15229.1,958160.90,958176.60,958176.60,959660.70,959660.70,959660.70,961661.60
P10,Part B,oneEuro,Med → High → Low,completed,19,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,2,82.30000000000001,349.775,45,2,3.1461,1.1371,1.1410,3.1500,640.65,640.65,406.23,411.50,1006.94,634.15,978.18,626.34,1006.94,634.15,1003.33,658.83,0,13104.8,962177.10,962177.20,962181.10,963318.20,963318.20,963318.20,965327.20
P10,Part B,oneEuro,Med → High → Low,completed,20,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,3,82.30000000000001,349.775,225,3,3.2498,1.2485,1.2656,3.2669,668.80,668.80,1003.33,658.83,533.01,183.34,542.62,187.14,533.01,183.34,508.67,164.17,0,14895.9,965843.80,965877.50,965894.60,967143.10,967143.10,967143.10,969144.40
P10,Part B,oneEuro,Med → High → Low,completed,21,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,4,82.30000000000001,349.775,90,4,4.7601,2.7571,2.7746,4.7776,633.09,633.09,508.67,164.17,746.45,750.92,796.53,763.39,746.45,750.92,756.00,761.27,2,14575.7,969653.60,969653.70,969671.20,972428.30,970384.90,972428.30,974431.30
P10,Part B,oneEuro,Med → High → Low,completed,22,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,5,82.30000000000001,349.775,270,5,3.7808,1.7807,1.7988,3.7989,691.89,691.89,756.00,761.27,748.06,69.43,727.49,91.06,748.06,69.43,756.00,61.73,0,9319.4,974939.10,974940.40,974958.50,976739.20,976739.20,976739.20,978739.30
P10,Part B,oneEuro,Med → High → Low,completed,23,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,6,82.30000000000001,349.775,135,6,3.0484,1.0430,1.0613,3.0675,653.93,653.93,756.00,61.73,503.96,665.14,542.83,680.96,503.96,665.14,508.67,658.83,0,6831.8,979255.10,979255.10,979274.20,980317.20,980316.40,980316.40,982322.60
P10,Part B,oneEuro,Med → High → Low,completed,24,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,0,7,82.30000000000001,349.775,315,7,2.6723,0.6715,0.7063,2.7071,694.32,694.32,508.67,658.83,1013.21,181.83,965.29,168.48,1013.21,181.83,1003.33,164.17,0,6701.8,982830.70,982833.20,982868.00,983539.50,983539.50,983539.50,985540.30
P10,Part B,oneEuro,Med → High → Low,completed,25,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,0,49.379999999999995,366.23499999999996,0,0,3.4519,1.4428,1.4429,3.4520,367.83,367.83,756.00,411.50,1123.83,410.99,1145.91,411.91,1123.83,410.99,1122.23,411.50,1,6932.8,992706.70,993154.30,993154.40,994597.20,993788.30,994597.20,996606.30
P10,Part B,oneEuro,Med → High → Low,completed,26,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,1,49.379999999999995,366.23499999999996,180,1,5.1580,3.1479,3.1814,5.1915,729.46,729.46,1122.23,411.50,392.78,414.34,409.05,425.35,392.78,414.34,389.77,411.50,2,16676.5,997123.80,997123.80,997157.30,1000305.20,997973.30,1000305.20,1002315.30
P10,Part B,oneEuro,Med → High → Low,completed,27,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,2,49.379999999999995,366.23499999999996,45,2,4.3632,2.3565,2.3724,4.3791,666.84,666.84,389.77,411.50,1011.37,652.92,1039.44,668.92,1011.37,652.92,1014.97,670.47,1,7207.7,1002824.20,1002825.90,1002841.80,1005198.30,1003814.60,1005198.30,1007205.00
P10,Part B,oneEuro,Med → High → Low,completed,28,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,3,49.379999999999995,366.23499999999996,225,3,2.8809,0.8796,0.9140,2.9153,730.35,730.35,1014.97,670.47,500.99,151.58,486.20,174.01,500.99,151.58,497.03,152.53,0,16185.1,1007724.40,1007724.40,1007758.80,1008638.40,1008638.40,1008638.40,1010639.70
P10,Part B,oneEuro,Med → High → Low,completed,29,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,4,49.379999999999995,366.23499999999996,90,4,5.0083,3.0080,3.0106,5.0109,660.09,660.09,497.03,152.53,759.81,758.07,776.73,764.47,759.81,758.07,756.00,777.73,2,4604.2,1011154.90,1011155.00,1011157.60,1014165.60,1012421.30,1014165.60,1016165.90
P10,Part B,oneEuro,Med → High → Low,completed,30,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,5,49.379999999999995,366.23499999999996,270,5,3.3769,1.3742,1.3897,3.3924,721.67,721.67,756.00,777.73,771.93,56.24,756.77,22.68,771.93,56.24,756.00,45.27,1,16073.0,1016682.30,1016682.40,1016697.90,1018072.10,1017539.20,1018072.10,1020074.80
P10,Part B,oneEuro,Med → High → Low,completed,31,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,6,49.379999999999995,366.23499999999996,135,6,3.0881,1.0873,1.1064,3.1072,663.55,663.55,756.00,45.27,490.48,653.38,472.80,674.35,490.48,653.38,497.03,670.47,0,8386.0,1020590.90,1020590.90,1020610.00,1021697.30,1021697.30,1021697.30,1023698.10
P10,Part B,oneEuro,Med → High → Low,completed,32,2,7.950621784106091,0.9661,"Medium SD (~8.0) - Interpolated",1,exponential,interp,7.9506,1209.54,1,7,49.379999999999995,366.23499999999996,315,7,5.9549,3.9441,3.9819,5.9927,736.95,736.95,497.03,670.47,1016.91,148.14,1019.15,176.51,1016.91,148.14,1014.97,152.53,1,6297.6,1024213.30,1024213.40,1024251.20,1028195.30,1026163.50,1028195.30,1030206.10
