GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
1,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,0,76.5,191.25,0,0,12.2661,218.66,706.00,382.50,924.42,392.75,897.25,382.50,137383.90,138226.10,150492.20
2,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,1,76.5,191.25,180,1,2.6748,371.32,897.25,382.50,525.99,376.30,706.00,382.50,150995.20,151818.20,154493.00
3,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,2,76.5,191.25,45,2,3.0669,375.09,514.75,382.50,853.26,544.08,649.98,517.73,154995.10,155658.30,158725.20
4,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,3,76.5,191.25,225,3,3.4966,374.74,841.23,517.73,586.27,243.10,706.00,382.50,159243.10,159375.60,162872.20
5,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,4,76.5,191.25,90,4,2.9912,362.41,570.77,247.27,707.21,583.01,570.77,438.52,163376.80,164009.00,167000.20
6,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,5,76.5,191.25,270,5,2.5088,378.45,706.00,573.75,725.00,195.78,706.00,382.50,167509.30,168467.10,170975.90
7,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,6,76.5,191.25,135,6,3.1556,357.32,706.00,191.25,558.12,516.53,570.77,326.48,171491.90,171492.60,174648.20
8,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,0,7,76.5,191.25,315,7,2.0004,405.82,570.77,517.73,869.17,242.71,706.00,382.50,175151.60,176001.20,178001.60
9,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,0,76.5,252.45000000000002,0,0,3.4997,268.12,706.00,382.50,972.64,354.34,958.45,382.50,186010.20,186984.80,190484.50
10,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,1,76.5,252.45000000000002,180,1,3.2496,492.72,958.45,382.50,465.84,392.97,706.00,382.50,191001.00,191867.70,195117.30
11,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,2,76.5,252.45000000000002,45,2,2.4331,487.02,453.55,382.50,894.47,589.32,632.06,561.01,195626.50,196334.20,198767.30
12,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,3,76.5,252.45000000000002,225,3,6.0010,508.23,884.51,561.01,526.14,200.64,706.00,382.50,199292.40,199292.50,205293.50
13,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,4,76.5,252.45000000000002,90,4,4.6386,492.77,527.49,203.99,729.81,653.31,527.49,456.44,205800.80,206725.30,211363.90
14,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,5,76.5,252.45000000000002,270,5,4.1377,518.60,706.00,634.95,709.89,116.36,706.00,382.50,211866.80,212076.20,216213.90
15,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,6,76.5,252.45000000000002,135,6,2.7661,477.73,706.00,130.05,516.92,568.77,527.49,308.56,216718.60,220426.20,223192.30
16,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,1,7,76.5,252.45000000000002,315,7,3.2949,510.88,527.49,561.01,895.73,206.88,706.00,382.50,223694.70,224597.80,227892.70
17,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,0,103.275,191.25,0,0,1.3948,201.32,706.00,382.50,907.29,385.90,897.25,382.50,235504.50,236542.70,237937.50
18,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,1,103.275,191.25,180,1,2.0491,371.51,897.25,382.50,526.17,400.26,706.00,382.50,238448.20,239214.50,241263.60
19,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,2,103.275,191.25,45,2,2.1095,382.93,514.75,382.50,875.94,509.69,649.98,517.73,241771.70,242504.30,244613.80
20,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,3,103.275,191.25,225,3,2.0718,421.79,841.23,517.73,549.08,213.51,706.00,382.50,245121.90,246071.20,248143.00
21,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,4,103.275,191.25,90,4,1.9659,375.99,570.77,247.27,720.79,592.03,570.77,438.52,248655.30,249702.70,251668.60
22,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,5,103.275,191.25,270,5,1.8202,385.94,706.00,573.75,713.64,187.89,706.00,382.50,252184.60,253203.30,255023.50
23,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,6,103.275,191.25,135,6,2.0427,366.53,706.00,191.25,569.62,531.47,570.77,326.48,255533.50,256409.20,258451.90
24,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,2,7,103.275,191.25,315,7,2.3075,403.24,570.77,517.73,857.77,234.48,706.00,382.50,258959.60,259984.10,262291.60
25,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,0,103.275,252.45000000000002,0,0,1.5917,280.18,706.00,382.50,985.98,372.02,958.45,382.50,269425.60,270500.20,272091.90
26,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,1,103.275,252.45000000000002,180,1,2.1004,523.77,958.45,382.50,434.91,398.19,706.00,382.50,272600.40,273575.30,275675.70
27,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,2,103.275,252.45000000000002,45,2,4.2060,505.85,453.55,382.50,912.95,594.26,632.06,561.01,276193.40,277025.30,281231.30
28,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,3,103.275,252.45000000000002,225,3,3.2766,530.20,884.51,561.01,515.28,180.51,706.00,382.50,281741.80,282913.60,286190.20
29,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,4,103.275,252.45000000000002,90,4,2.3521,468.41,527.49,203.99,709.96,635.40,527.49,456.44,286701.10,287623.80,289975.90
30,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,5,103.275,252.45000000000002,270,5,2.3795,493.36,706.00,634.95,702.06,141.60,706.00,382.50,290483.00,291447.60,293827.10
31,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,6,103.275,252.45000000000002,135,6,2.4928,516.28,706.00,130.05,499.63,603.29,527.49,308.56,294341.60,295014.70,297507.50
32,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,3,7,103.275,252.45000000000002,315,7,2.9697,493.13,527.49,561.01,884.55,220.88,706.00,382.50,298008.50,298009.80,300979.50
33,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,0,130.05,191.25,0,0,1.1337,198.25,706.00,382.50,901.78,413.69,897.25,382.50,306409.50,307540.80,308674.50
34,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,1,130.05,191.25,180,1,2.9174,432.45,897.25,382.50,465.10,366.35,706.00,382.50,309184.40,309971.60,312889.00
35,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,2,130.05,191.25,45,2,2.4855,341.40,514.75,382.50,830.28,512.85,649.98,517.73,313392.00,313407.30,315892.80
36,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,3,130.05,191.25,225,3,1.9583,380.15,841.23,517.73,565.65,255.88,706.00,382.50,316401.50,317091.50,319049.80
37,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,4,130.05,191.25,90,4,1.8301,361.41,570.77,247.27,714.85,578.71,570.77,438.52,319560.10,320503.30,322333.40
38,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,5,130.05,191.25,270,5,2.2165,398.25,706.00,573.75,702.51,175.51,706.00,382.50,322843.10,323767.20,325983.70
39,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,6,130.05,191.25,135,6,2.0886,329.25,706.00,191.25,595.88,501.54,570.77,326.48,326501.50,327300.70,329389.30
40,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,4,7,130.05,191.25,315,7,1.8244,419.19,570.77,517.73,857.56,212.01,706.00,382.50,329901.20,330592.70,332417.10
41,1,4.91805,"Low Variance (~4.9) - Dynamic Match",0,exponential,2,4.7133,219.39,5,0,130.05,252.45000000000002,0,0,1.3526,263.39,706.00,382.50,969.32,376.38,958.45,382.50,341974.80,343013.40,344366.00
