PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,76.5,191.25,8,4.0200,355.48,29.38,3.7113,0.9232
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,76.5,252.45000000000002,8,3.7526,469.51,34.42,3.8719,1.0318
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,103.275,191.25,8,1.9702,363.66,61.34,2.7926,1.4174
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,103.275,252.45000000000002,8,2.6711,476.40,83.77,2.7413,1.0263
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,130.05,191.25,8,2.0568,357.54,97.41,2.2236,1.0811
1,4.91805,"Low Variance (~4.9) - Dynamic Match",exponential,2,4.7133,219.39,130.05,252.45000000000002,8,2.3391,457.01,77.79,2.7814,1.1891
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,76.5,191.25,8,1.9779,345.37,42.43,3.1921,1.6139
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,76.5,252.45000000000002,8,2.3945,462.79,54.81,3.2394,1.3529
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,103.275,191.25,8,1.6901,338.64,60.65,2.7190,1.6088
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,103.275,252.45000000000002,8,2.0187,459.72,52.25,3.2925,1.6310
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,130.05,191.25,8,1.7820,340.06,113.26,2.0009,1.1229
1,4.91805,"Low Variance (~4.9) - Dynamic Match",oneEuro,1,5.1228,211.16,130.05,252.45000000000002,8,1.8051,441.33,78.78,2.7230,1.5085
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,76.5,191.25,8,2.3189,330.64,30.61,3.5609,1.5356
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,76.5,252.45000000000002,8,2.6230,444.81,50.63,3.2907,1.2545
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,103.275,191.25,8,1.9645,329.89,67.51,2.5575,1.3019
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,103.275,252.45000000000002,8,1.6458,457.55,92.65,2.5701,1.5617
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,130.05,191.25,8,1.6848,340.31,85.48,2.3165,1.3749
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",exponential,18,25.0026,142.03,130.05,252.45000000000002,8,1.8901,458.53,122.05,2.2500,1.1904
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,76.5,191.25,8,1.8148,352.80,54.29,2.9067,1.6017
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,76.5,252.45000000000002,8,2.0522,462.36,43.86,3.5287,1.7195
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,103.275,191.25,8,1.6523,354.06,111.48,2.0621,1.2481
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,103.275,252.45000000000002,8,2.0263,459.88,66.42,2.9862,1.4737
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,130.05,191.25,8,1.5465,346.40,98.57,2.1745,1.4061
2,24.85985,"Medium Variance (~24.9) - Dynamic Match",oneEuro,38,24.7171,138.86,130.05,252.45000000000002,8,1.9102,467.26,94.33,2.5737,1.3473
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,76.5,191.25,8,1.6751,328.74,24.98,3.8236,2.2825
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,76.5,252.45000000000002,8,1.7561,438.91,52.66,3.2226,1.8350
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,103.275,191.25,8,1.4110,341.84,32.78,3.5147,2.4910
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,103.275,252.45000000000002,8,1.8970,448.56,71.25,2.8671,1.5114
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,130.05,191.25,8,1.2753,337.49,64.85,2.6333,2.0649
3,44.67635,"High Variance (~44.7) - Dynamic Match",exponential,64,44.6281,84.67,130.05,252.45000000000002,8,1.5160,459.43,61.76,3.0770,2.0297
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,76.5,191.25,8,2.0170,336.38,44.95,3.0845,1.5292
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,76.5,252.45000000000002,8,2.1947,452.62,69.55,2.9083,1.3252
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,103.275,191.25,8,1.5893,345.12,64.91,2.6592,1.6732
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,103.275,252.45000000000002,8,1.7561,447.61,51.46,3.2777,1.8665
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,130.05,191.25,8,1.1427,348.96,76.10,2.4818,2.1718
3,44.67635,"High Variance (~44.7) - Dynamic Match",oneEuro,65,44.7246,81.88,130.05,252.45000000000002,8,1.3272,464.18,67.53,2.9770,2.2430
