GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,EntryBasedMT,TotalTime,EffectiveAmplitude,ActualAmplitude,StartX,StartY,EndpointX,EndpointY,LastEntryX,LastEntryY,SelectionX,SelectionY,TargetX,TargetY,ReEntryCount,PeakSpeed,TrialStartTime,MovementStartTime,MovementOnsetTime,MovementOffsetTime,FirstEntryTime,LastEntryTime,SelectionTime
1,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,0,27.419999999999998,228.5,0,0,3.9097,3.6602,5.6751,236.03,225.76,840.00,457.00,1075.91,464.40,1078.40,466.28,1065.67,463.42,1068.50,457.00,1,229.8,53102.20,53725.60,53725.60,57635.30,54992.90,57385.80,59400.70
2,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,1,27.419999999999998,228.5,180,1,5.4592,5.2261,7.2337,465.76,452.17,1068.50,457.00,602.78,462.86,605.12,468.81,616.34,460.57,840.00,457.00,1,476.3,59910.60,59925.90,59925.90,65385.10,62152.50,65152.00,67159.60
3,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,2,27.419999999999998,228.5,45,2,8.3093,8.1590,10.1755,425.53,432.52,611.50,457.00,1008.61,609.92,1008.09,606.53,1008.94,627.64,773.07,618.57,4,442.7,67661.10,68126.50,68126.50,76435.80,70026.70,76285.50,78302.00
4,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,3,27.419999999999998,228.5,225,3,3.9328,3.9328,5.9493,470.37,452.26,1001.57,618.57,668.68,286.26,668.68,286.26,678.69,301.90,840.00,457.00,1,428.4,78809.50,79193.50,79193.50,83126.30,81517.50,83126.30,85142.80
5,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,4,27.419999999999998,228.5,90,4,5.2901,5.1066,7.1150,432.34,432.55,678.43,295.43,848.35,692.98,848.44,696.06,850.78,692.15,678.43,523.93,1,343.8,85660.30,86195.30,86195.30,91485.40,88317.70,91301.90,93310.30
6,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,5,27.419999999999998,228.5,270,5,7.6686,7.1753,9.1762,462.67,465.92,840.00,685.50,840.56,222.83,844.82,241.13,841.16,219.58,840.00,457.00,2,409.7,93812.50,93826.40,93984.20,101652.80,98077.00,101001.70,103002.60
7,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,6,27.419999999999998,228.5,135,6,5.8002,5.8002,7.8090,432.47,413.15,840.00,228.50,683.00,631.46,683.00,631.46,674.78,607.18,678.43,390.07,1,548.8,103519.90,103643.20,103643.20,109443.40,107243.10,109443.40,111452.20
8,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,0,7,27.419999999999998,228.5,315,7,8.3590,8.1230,10.1312,455.99,457.89,678.43,618.57,996.90,292.23,1002.58,309.03,1000.62,293.22,840.00,457.00,2,429.6,111968.40,111970.70,112326.70,120685.70,115185.20,120093.70,122101.90
9,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,0,27.419999999999998,411.3,0,0,4.9170,5.1501,7.1579,424.26,403.83,840.00,457.00,1264.24,461.37,1264.24,461.37,1243.82,459.72,1251.30,457.00,0,2823.4,131776.40,132551.90,132785.00,137702.00,137702.00,137702.00,139709.80
10,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,1,27.419999999999998,411.3,180,1,6.0745,6.1327,8.1333,821.73,824.10,1251.30,457.00,429.68,470.47,429.68,470.47,427.21,461.41,840.00,457.00,0,2616.7,140219.10,140235.50,140293.70,146368.20,146368.20,146368.20,148368.80
11,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,2,27.419999999999998,411.3,45,2,4.1435,4.2666,6.2751,771.30,764.22,428.70,457.00,1138.30,759.27,1138.30,759.27,1133.06,753.51,719.53,747.83,1,6046.3,148885.30,149368.60,149491.70,153635.20,151943.40,153635.20,155643.70
12,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,3,27.419999999999998,411.3,225,3,5.4582,5.4582,7.4582,832.90,834.99,1130.83,747.83,548.33,152.51,548.33,152.51,540.54,157.28,840.00,457.00,0,2122.5,156152.10,156384.90,156384.90,161843.10,161843.10,161843.10,163843.10
13,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,4,27.419999999999998,411.3,90,4,6.9475,6.9475,8.9487,773.22,763.28,549.17,166.17,847.52,879.51,847.52,879.51,849.21,868.00,549.17,577.47,1,1462.6,164345.20,164985.70,164985.70,171933.20,169418.30,171933.20,173934.40
14,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,5,27.419999999999998,411.3,270,5,5.7672,5.7838,7.7842,809.37,813.67,840.00,868.30,841.71,58.93,841.71,58.93,847.45,54.67,840.00,457.00,0,3004.2,174452.80,174676.40,174693.00,180460.20,180460.20,180460.20,182460.60
15,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,6,27.419999999999998,411.3,135,6,6.2244,6.6412,8.6583,773.63,759.09,840.00,45.70,544.64,760.73,544.64,760.73,554.61,749.10,549.17,336.53,0,4151.9,182964.20,182980.50,183397.30,189621.70,189621.70,189621.70,191638.80
16,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,1,7,27.419999999999998,411.3,315,7,9.4704,9.5701,11.5789,809.75,827.69,549.17,747.83,1124.05,177.57,1124.05,177.57,1132.98,161.11,840.00,457.00,1,4065.2,192147.20,192380.50,192480.20,201950.60,200184.30,201950.60,203959.40
17,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,0,54.839999999999996,228.5,0,0,8.8416,9.0250,11.0418,254.49,217.81,840.00,457.00,1094.32,466.23,1094.32,466.23,1057.78,460.34,1068.50,457.00,3,1335.9,210818.00,211325.90,211509.30,220350.90,212784.40,220350.90,222367.70
18,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,1,54.839999999999996,228.5,180,1,3.8825,3.9164,5.9246,483.25,451.26,1068.50,457.00,585.30,463.78,585.30,463.78,617.25,455.93,840.00,457.00,1,2611.0,222884.70,223342.80,223376.70,227259.20,225377.20,227259.20,229267.40
19,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,2,54.839999999999996,228.5,45,2,3.4814,3.5483,5.5564,424.21,432.02,611.50,457.00,992.28,643.99,992.28,643.99,1005.13,635.05,773.07,618.57,0,5403.8,229769.10,230318.30,230385.20,233866.60,233866.60,233866.60,235874.70
20,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,3,54.839999999999996,228.5,225,3,6.8999,6.8999,8.9005,476.73,477.25,1001.57,618.57,678.33,268.17,678.33,268.17,676.87,268.81,840.00,457.00,3,4476.6,236376.90,236833.80,236833.80,243733.70,238042.60,243733.70,245734.30
21,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,4,54.839999999999996,228.5,90,4,8.3582,8.3584,10.3586,449.01,410.74,678.43,295.43,850.25,710.25,850.63,710.72,835.84,674.80,678.43,523.93,2,3167.2,246235.50,246575.50,246593.00,254951.20,249742.10,254933.90,256934.10
22,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,5,54.839999999999996,228.5,270,5,4.1816,4.4665,6.4745,464.01,449.06,840.00,685.50,866.64,222.26,866.64,222.26,834.43,236.48,840.00,457.00,1,3376.8,257451.30,257942.20,258227.10,262408.70,259684.30,262408.70,264416.70
23,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,6,54.839999999999996,228.5,135,6,7.1249,7.1249,9.1251,432.73,422.10,840.00,228.50,698.15,637.32,698.15,637.32,677.12,617.90,678.43,390.07,2,1937.4,264917.80,265250.60,265250.60,272375.50,267125.90,272375.50,274375.70
24,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,2,7,54.839999999999996,228.5,315,7,2.8252,2.9499,4.9583,433.84,478.44,678.43,618.57,994.80,321.73,994.80,321.73,1019.54,283.09,840.00,457.00,0,2740.5,274884.80,275400.50,275525.20,278350.40,278350.40,278350.40,280358.80
25,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,0,54.839999999999996,406.72999999999996,0,0,3.5495,3.6000,5.6003,383.60,415.50,840.00,457.00,1223.33,442.78,1223.33,442.78,1255.47,461.72,1246.73,457.00,0,2361.9,286808.40,287592.00,287642.50,291192.00,291192.00,291192.00,293192.30
26,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,1,54.839999999999996,406.72999999999996,180,1,7.6326,7.7156,9.7244,794.24,823.92,1246.73,457.00,452.69,474.77,453.55,475.43,422.81,454.47,840.00,457.00,2,3441.2,293701.40,294075.90,294192.10,301824.70,297733.80,301791.50,303800.30
27,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,2,54.839999999999996,406.72999999999996,45,2,3.6837,3.8500,5.8500,725.23,772.04,433.27,457.00,1104.26,732.20,1104.26,732.20,1144.67,756.95,720.87,744.60,0,1904.1,304318.20,304425.10,304591.40,308275.10,308275.10,308275.10,310275.10
28,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,3,54.839999999999996,406.72999999999996,225,3,5.2071,5.2918,7.2920,804.65,833.76,1127.60,744.60,577.10,157.73,577.10,157.73,536.90,156.18,840.00,457.00,0,3439.8,310784.60,311041.50,311126.20,316333.30,316333.30,316333.30,318333.50
29,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,4,54.839999999999996,406.72999999999996,90,4,4.7597,5.0905,7.0994,732.62,760.23,552.40,169.40,849.89,838.90,849.59,838.11,842.87,871.95,552.40,576.13,0,1957.4,318851.50,319192.70,319525.60,324285.30,324283.20,324283.20,326292.10
30,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,5,54.839999999999996,406.72999999999996,270,5,6.5252,6.5582,8.5590,840.62,806.60,840.00,863.73,841.42,23.11,841.42,23.11,848.50,57.17,840.00,457.00,1,2492.1,326809.40,327167.60,327200.60,333725.80,331000.90,333725.80,335726.60
31,1,3.2225200000000003,"Low SD (~3.2) - Interpolated",0,exponential,interp,3.2225,2405.71,3,6,54.839999999999996,406.72999999999996,135,6,4.1264,4.0924,6.0933,729.81,772.73,840.00,50.27,549.44,719.74,550.34,717.39,542.05,763.25,552.40,337.87,0,2159.9,336242.60,336550.20,336550.20,340676.60,340642.60,340642.60,342643.50
