PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP,MeanReEntries
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,27.419999999999998,228.5,8,6.0911,422.65,322.93,1.2071,0.1982,1.63
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,27.419999999999998,411.3,8,6.1253,752.02,554.17,1.2370,0.2019,0.38
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,54.839999999999996,228.5,8,5.6994,427.28,303.49,1.2678,0.2224,1.50
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,54.839999999999996,406.72999999999996,8,5.2145,731.19,625.97,1.1164,0.2141,0.50
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,91.4,228.5,8,5.1986,421.61,420.21,1.0024,0.1928,1.38
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",exponential,interp,3.2225,2405.71,91.4,388.45,8,4.8091,725.63,619.79,1.1182,0.2325,0.75
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,27.419999999999998,228.5,8,6.3149,411.74,295.12,1.2601,0.1995,1.38
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,27.419999999999998,411.3,8,7.9069,745.66,559.32,1.2223,0.1546,1.50
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,54.839999999999996,228.5,8,3.5245,413.01,292.06,1.2715,0.3608,1.00
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,54.839999999999996,406.72999999999996,8,4.6983,728.13,574.84,1.1806,0.2513,1.38
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,91.4,228.5,8,1.0093,386.95,338.81,1.0990,1.0889,0.13
1,3.2225200000000003,"Low SD (~3.2) - Interpolated",oneEuro,interp,3.2225,1560.43,91.4,388.45,8,2.8225,715.97,512.91,1.2606,0.4466,1.00
2,17.512900000000002,"Medium SD (~17.5) - Interpolated",exponential,interp,17.5129,354.82,27.419999999999998,228.5,8,8.2412,412.76,303.53,1.2387,0.1503,4.13
2,17.512900000000002,"Medium SD (~17.5) - Interpolated",exponential,interp,17.5129,354.82,27.419999999999998,411.3,8,5.1434,737.95,563.45,1.2077,0.2348,2.13
2,17.512900000000002,"Medium SD (~17.5) - Interpolated",exponential,interp,17.5129,354.82,54.839999999999996,228.5,8,1.3490,405.47,266.81,1.3332,0.9883,0.50
