#{"coordinateSystem":"2d","timestamp":1779841957069,"calibrationWidth":1512,"calibrationHeight":823,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
7449.200,0.000,756.000,288.050,0.500,0.350,754.470,412.588,-51.426,633.830,342.804,15.497,843.362,354.237,37.885,754.470,412.588,-51.426,680.396,498.983,-18.090,796.113,505.092,-4.329,736.352,600.731,-19.006,633.830,342.804,15.497,843.362,354.237,37.885,-8.835,10.138,-3.555
8739.600,0.000,1470.850,288.050,0.973,0.350,578.018,405.963,-47.047,531.004,350.376,55.436,721.980,340.299,-3.091,578.018,405.963,-47.047,551.573,493.879,5.376,653.911,497.849,-28.864,600.002,593.448,-21.962,531.004,350.376,55.436,721.980,340.299,-3.091,19.755,11.815,1.565
9823.100,0.000,41.150,41.150,0.027,0.050,786.883,395.843,-48.458,649.920,331.061,1.608,846.179,347.720,53.807,786.883,395.843,-48.458,704.978,486.561,-28.116,816.723,491.091,3.338,764.887,589.033,-25.209,649.920,331.061,1.608,846.179,347.720,53.807,-20.123,13.151,-3.863
10847.900,0.000,756.000,781.850,0.500,0.950,737.400,475.658,-50.178,616.019,386.245,3.073,824.704,390.043,29.332,737.400,475.658,-50.178,668.722,549.309,-7.320,779.292,550.804,8.419,722.943,641.475,8.810,616.019,386.245,3.073,824.704,390.043,29.332,-10.477,-0.631,-1.548
11817.200,0.000,1113.425,41.150,0.736,0.050,622.157,399.080,-50.217,547.915,341.020,45.651,754.441,337.386,13.139,622.157,399.080,-50.217,577.801,491.120,-4.534,689.695,495.323,-23.955,627.678,589.536,-28.209,547.915,341.020,45.651,754.441,337.386,13.139,10.276,13.143,-0.233
12913.400,0.000,398.575,534.950,0.264,0.650,749.974,449.294,-50.555,626.101,365.805,4.939,831.957,379.018,37.538,749.974,449.294,-50.555,673.827,527.825,-14.909,783.802,533.972,4.441,725.709,626.244,-3.772,626.101,365.805,4.939,831.957,379.018,37.538,-13.041,4.554,-4.109
13897.800,0.000,1470.850,41.150,0.973,0.050,566.138,399.404,-47.123,518.600,343.950,55.443,712.136,335.111,-1.552,566.138,399.404,-47.123,539.451,489.682,3.842,638.576,493.895,-29.667,584.214,588.130,-23.186,518.600,343.950,55.443,712.136,335.111,-1.552,19.047,12.340,0.925
14961.600,0.000,41.150,288.050,0.027,0.350,778.791,412.482,-47.781,641.528,344.288,-1.055,835.402,354.967,51.591,778.791,412.482,-47.781,698.060,500.666,-26.173,806.969,502.847,5.278,755.329,598.767,-17.986,641.528,344.288,-1.055,835.402,354.967,51.591,-20.905,10.548,-2.719
16167.100,0.000,41.150,781.850,0.027,0.950,795.869,487.555,-46.094,665.383,388.363,-16.098,851.943,401.283,43.392,795.869,487.555,-46.094,703.423,554.174,-14.615,801.543,559.922,18.958,739.407,643.724,11.636,665.383,388.363,-16.098,851.943,401.283,43.392,-24.194,-2.678,-5.970
17247.500,0.000,1470.850,781.850,0.973,0.950,610.182,478.720,-50.845,525.915,385.364,29.739,736.876,385.071,0.521,610.182,478.720,-50.845,568.136,545.376,10.818,679.109,552.573,-5.762,625.165,641.934,12.789,525.915,385.364,29.739,736.876,385.071,0.521,8.461,-2.309,-0.937
