#{"coordinateSystem":"2d","timestamp":1782225600181,"calibrationWidth":1512,"calibrationHeight":823,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
9885.600,0.000,756.000,288.050,0.500,0.350,673.902,489.626,-70.226,523.984,434.453,41.234,807.125,403.859,39.306,673.902,489.626,-70.226,601.824,624.655,-17.712,771.773,605.609,-18.977,700.598,753.369,-35.836,523.984,434.453,41.234,807.125,403.859,39.306,-1.223,15.216,5.988
10244.000,0.000,1470.850,288.050,0.973,0.350,724.102,455.856,-67.888,567.337,403.688,35.342,843.270,387.926,52.830,724.102,455.856,-67.888,641.293,591.695,-29.219,811.090,580.837,-18.352,739.187,726.147,-51.544,567.337,403.688,35.342,843.270,387.926,52.830,-5.669,19.251,3.091
10752.700,0.000,41.150,41.150,0.027,0.050,671.767,462.142,-69.151,531.898,416.621,49.394,804.972,386.010,44.266,671.767,462.142,-69.151,599.026,601.274,-24.003,768.628,584.701,-27.989,695.090,732.161,-55.194,531.898,416.621,49.394,804.972,386.010,44.266,-0.347,20.168,5.654
10824.600,0.000,756.000,781.850,0.500,0.950,693.027,460.189,-68.950,545.962,414.082,44.450,820.861,388.394,49.088,693.027,460.189,-68.950,618.112,599.724,-27.710,785.442,584.882,-26.106,713.481,730.772,-56.246,545.962,414.082,44.450,820.861,388.394,49.088,-2.537,20.642,4.871
10910.300,0.000,1113.425,41.150,0.736,0.050,718.821,463.006,-68.502,564.453,412.756,37.780,839.298,395.566,52.082,718.821,463.006,-68.502,637.573,599.771,-28.716,804.542,589.066,-20.334,732.734,732.345,-53.933,564.453,412.756,37.780,839.298,395.566,52.082,-4.936,19.905,3.212
10996.500,0.000,398.575,534.950,0.264,0.650,730.237,468.118,-67.897,575.388,413.005,33.880,845.755,400.954,53.514,730.237,468.118,-67.897,646.262,602.726,-29.290,815.694,594.444,-17.106,742.130,736.469,-50.907,575.388,413.005,33.880,845.755,400.954,53.514,-6.238,19.311,2.383
11076.600,0.000,1470.850,41.150,0.973,0.050,739.905,473.401,-67.376,580.671,415.068,30.173,851.301,406.738,54.513,739.905,473.401,-67.376,651.354,608.394,-29.645,820.392,600.004,-14.346,747.799,741.661,-46.613,580.671,415.068,30.173,851.301,406.738,54.513,-7.494,18.471,1.564
11160.800,0.000,41.150,288.050,0.027,0.350,743.281,476.895,-66.991,583.416,418.469,28.905,853.369,411.068,54.719,743.281,476.895,-66.991,653.467,612.004,-29.627,822.782,604.517,-13.168,750.003,745.744,-45.108,583.416,418.469,28.905,853.369,411.068,54.719,-7.885,18.265,1.204
11253.000,0.000,41.150,781.850,0.027,0.950,748.276,480.667,-66.608,587.096,420.873,27.669,856.377,415.677,55.325,748.276,480.667,-66.608,656.644,614.690,-29.847,825.368,608.503,-12.343,752.962,749.932,-44.404,587.096,420.873,27.669,856.377,415.677,55.325,-8.381,18.228,0.716
11335.300,0.000,1470.850,781.850,0.973,0.950,750.956,483.601,-66.459,589.579,423.953,27.437,858.647,419.183,55.778,750.956,483.601,-66.459,658.236,617.131,-30.051,827.083,611.033,-12.120,754.652,751.779,-44.680,589.579,423.953,27.437,858.647,419.183,55.778,-8.541,18.354,0.542
