#{"coordinateSystem":"2d","timestamp":1782231101028,"calibrationWidth":1512,"calibrationHeight":823,"useRotation":true,"rotationOnlyMode":true}
timestamp,frameIndex,targetX,targetY,targetXRel,targetYRel,landmark3_0_x,landmark3_0_y,landmark3_0_z,landmark3_1_x,landmark3_1_y,landmark3_1_z,landmark3_2_x,landmark3_2_y,landmark3_2_z,landmark6_0_x,landmark6_0_y,landmark6_0_z,landmark6_1_x,landmark6_1_y,landmark6_1_z,landmark6_2_x,landmark6_2_y,landmark6_2_z,landmark6_3_x,landmark6_3_y,landmark6_3_z,landmark6_4_x,landmark6_4_y,landmark6_4_z,landmark6_5_x,landmark6_5_y,landmark6_5_z,yaw,pitch,roll
67388.200,0.000,756.000,288.050,0.500,0.350,793.077,398.539,-36.571,712.089,366.286,22.734,864.721,366.332,26.765,793.077,398.539,-36.571,747.516,475.615,-15.944,831.550,476.726,-13.179,790.237,555.233,-29.411,712.089,366.286,22.734,864.721,366.332,26.765,-1.725,19.605,-0.582
68589.900,0.000,1470.850,288.050,0.973,0.350,658.265,425.282,-28.347,652.513,394.608,49.799,766.682,360.290,-2.587,658.265,425.282,-28.347,659.940,496.046,-0.316,724.557,481.523,-32.742,688.036,566.292,-34.709,652.513,394.608,49.799,766.682,360.290,-2.587,31.324,24.208,14.797
70237.400,0.000,41.150,41.150,0.027,0.050,891.426,414.013,-31.904,785.536,366.323,-3.161,913.276,381.873,47.465,891.426,414.013,-31.904,828.839,479.754,-28.047,904.727,487.238,2.835,871.678,562.505,-27.841,785.536,366.323,-3.161,913.276,381.873,47.465,-25.203,20.273,-6.813
73112.400,0.000,756.000,781.850,0.500,0.950,815.289,503.636,-38.698,725.504,428.394,3.556,891.024,429.127,14.419,815.289,503.636,-38.698,766.195,558.603,1.364,849.031,558.700,7.536,807.600,636.917,16.842,725.504,428.394,3.556,891.024,429.127,14.419,-4.487,-3.935,-0.122
83545.500,0.000,1113.425,41.150,0.736,0.050,725.314,408.610,-35.782,671.996,381.041,36.056,821.639,362.995,11.821,725.314,408.610,-35.782,699.810,490.162,-5.845,784.298,481.819,-20.810,744.323,562.864,-28.704,671.996,381.041,36.056,821.639,362.995,11.821,12.912,19.496,6.733
86395.700,0.000,398.575,534.950,0.264,0.650,843.177,448.885,-37.897,744.864,394.612,7.494,901.292,398.497,32.496,843.177,448.885,-37.897,787.006,517.122,-16.149,869.060,517.839,-1.333,828.363,595.737,-14.050,744.864,394.612,7.494,901.292,398.497,32.496,-11.618,10.644,-2.544
103429.300,0.000,1470.850,41.150,0.973,0.050,679.409,413.830,-36.079,637.232,389.976,42.704,778.288,358.770,5.930,679.409,413.830,-36.079,667.632,494.593,-1.906,749.641,481.945,-25.308,715.739,568.142,-29.748,637.232,389.976,42.704,778.288,358.770,5.930,18.276,20.088,12.402
104723.000,0.000,41.150,288.050,0.027,0.350,869.004,436.012,-34.092,764.807,376.397,-5.767,900.330,390.082,45.121,869.004,436.012,-34.092,800.604,502.628,-24.929,879.495,503.405,6.756,843.027,587.631,-17.976,764.807,376.397,-5.767,900.330,390.082,45.121,-24.693,13.919,-6.099
105828.200,0.000,41.150,781.850,0.027,0.950,866.759,514.924,-33.870,771.359,432.884,-15.506,918.732,438.357,27.747,866.759,514.924,-33.870,793.749,558.378,-5.649,875.476,559.799,19.765,826.475,629.515,17.795,771.359,432.884,-15.506,918.732,438.357,27.747,-20.962,-7.445,-4.045
107070.600,0.000,1470.850,781.850,0.973,0.950,719.068,492.963,-33.766,657.745,421.318,19.836,811.843,416.433,0.139,719.068,492.963,-33.766,694.517,543.507,8.781,775.690,545.114,-3.346,734.899,615.401,6.577,657.745,421.318,19.836,811.843,416.433,0.139,10.850,-1.063,2.381
108203.400,0.000,1470.850,534.950,0.973,0.650,714.787,438.838,-35.192,658.936,392.859,26.270,811.037,379.164,12.024,714.787,438.838,-35.192,688.831,506.938,-3.011,774.551,502.689,-11.959,735.108,587.404,-15.908,658.936,392.859,26.270,811.037,379.164,12.024,8.579,12.224,4.775
109562.100,0.000,398.575,781.850,0.264,0.950,838.298,475.169,-36.281,739.281,409.099,-1.353,892.672,411.247,30.311,838.298,475.169,-36.281,778.493,531.924,-11.931,857.997,531.820,7.046,817.576,606.107,-0.855,739.281,409.099,-1.353,892.672,411.247,30.311,-15.384,3.246,-2.196
110670.100,0.000,41.150,534.950,0.027,0.650,890.773,445.345,-30.970,785.917,386.641,-10.695,919.239,394.711,44.450,890.773,445.345,-30.970,825.851,509.673,-24.152,894.817,507.263,8.320,858.556,585.608,-13.408,785.917,386.641,-10.695,919.239,394.711,44.450,-27.753,10.926,-5.674
112027.900,0.000,1113.425,781.850,0.736,0.950,764.943,479.100,-37.505,685.304,415.652,13.280,842.127,410.677,13.761,764.943,479.100,-37.505,724.944,536.435,-0.135,812.379,534.090,-0.325,770.955,608.558,1.909,685.304,415.652,13.280,842.127,410.677,13.761,0.289,1.926,2.526
113412.500,0.000,398.575,41.150,0.264,0.050,833.736,390.390,-34.408,733.310,357.243,11.648,879.288,361.877,40.353,833.736,390.390,-34.408,778.751,467.109,-25.314,862.518,465.913,-7.705,827.489,540.407,-34.758,733.310,357.243,11.648,879.288,361.877,40.353,-14.568,22.882,-2.516
114623.000,0.000,756.000,41.150,0.500,0.050,763.552,393.294,-34.633,692.260,365.092,25.404,841.165,356.566,24.455,763.552,393.294,-34.633,722.440,473.896,-15.015,809.878,470.003,-15.374,769.158,547.351,-31.118,692.260,365.092,25.404,841.165,356.566,24.455,0.977,20.775,2.251
115803.400,0.000,398.575,288.050,0.264,0.350,850.387,422.282,-34.037,746.493,379.250,1.598,889.940,381.289,40.524,850.387,422.282,-34.037,792.983,496.134,-22.957,872.738,493.107,0.842,837.925,567.789,-20.820,746.493,379.250,1.598,889.940,381.289,40.524,-19.503,15.715,-1.943
