minCutoff,beta,dCutoff,variance,latency,rawSigma,filtSigma,rawThresh,filtThresh,peakSpeed
0.01,0.0005,1,0.4091,736.45,175.14,1.33,700.57,5.31,1807.95
0.05,0.0005,1,0.5010,732.27,175.14,1.77,700.57,7.07,1807.95
0.1,0.0005,1,0.5764,578.37,175.14,2.38,700.57,9.52,1807.95
0.01,0.001,1,0.5806,503.91,175.14,2.35,700.57,9.39,1807.95
0.05,0.001,1,0.6279,502.81,175.14,2.73,700.57,10.92,1807.95
0.2,0.0005,1,0.6581,504.61,175.14,3.65,700.57,14.62,1807.95
0.1,0.001,1,0.6659,428.96,175.14,3.25,700.57,13.00,1807.95
0.2,0.001,1,0.7132,427.31,175.14,4.38,700.57,17.53,1807.95
0.01,0.002,1,0.7639,427.30,175.14,4.12,700.57,16.48,1807.95
0.05,0.002,1,0.7684,427.19,175.14,4.39,700.57,17.57,1807.95
0.1,0.002,1,0.7752,426.95,175.14,4.80,700.57,19.18,1807.95
0.2,0.002,1,0.7966,426.24,175.14,5.75,700.57,23.00,1807.95
0.5,0.0005,1,0.8151,293.04,175.14,7.50,700.57,30.00,1807.95
0.05,0.003,1,0.8412,425.75,175.14,5.76,700.57,23.05,1807.95
0.01,0.003,1,0.8428,425.72,175.14,5.52,700.57,22.07,1807.95
0.1,0.003,1,0.8437,425.69,175.14,6.13,700.57,24.50,1807.95
0.5,0.001,1,0.8500,423.62,175.14,8.04,700.57,32.16,1807.95
0.2,0.003,1,0.8610,425.33,175.14,7.00,700.57,27.99,1807.95
0.5,0.002,1,0.9128,423.96,175.14,9.10,700.57,36.38,1807.95
0.01,0.005,1,0.9375,423.88,175.14,7.84,700.57,31.36,1807.95
0.05,0.005,1,0.9393,423.96,175.14,8.09,700.57,32.36,1807.95
0.1,0.005,1,0.9452,424.01,175.14,8.44,700.57,33.77,1807.95
0.2,0.005,1,0.9660,423.93,175.14,9.25,700.57,36.98,1807.95
0.5,0.003,1,0.9687,423.79,175.14,10.11,700.57,40.44,1807.95
0.5,0.005,1,1.0671,423.21,175.14,12.06,700.57,48.25,1807.95
1,0.0005,1,1.0840,285.35,175.14,13.48,700.57,53.92,1807.95
1,0.001,1,1.1071,286.63,175.14,13.88,700.57,55.54,1807.95
0.01,0.01,1,1.1358,421.45,175.14,12.91,700.57,51.62,1807.95
0.05,0.01,1,1.1443,421.55,175.14,13.17,700.57,52.68,1807.95
1,0.002,1,1.1508,421.53,175.14,14.69,700.57,58.76,1807.95
0.1,0.01,1,1.1557,421.65,175.14,13.51,700.57,54.06,1807.95
0.2,0.01,1,1.1811,421.80,175.14,14.23,700.57,56.94,1807.95
1,0.003,1,1.1919,421.82,175.14,15.49,700.57,61.96,1807.95
1,0.005,1,1.2674,421.95,175.14,17.06,700.57,68.26,1807.95
0.5,0.01,1,1.2690,421.95,175.14,16.57,700.57,66.26,1807.95
1,0.01,1,1.4288,421.68,175.14,20.82,700.57,83.27,1807.95
0.01,0.02,1,1.4833,419.15,175.14,21.88,700.57,87.51,1807.95
0.05,0.02,1,1.4892,419.32,175.14,22.04,700.57,88.18,1807.95
0.1,0.02,1,1.4971,419.50,175.14,22.26,700.57,89.04,1807.95
2,0.0005,1,1.5120,219.13,175.14,24.04,700.57,96.17,1807.95
0.2,0.02,1,1.5139,419.84,175.14,22.73,700.57,90.90,1807.95
2,0.001,1,1.5248,217.92,175.14,24.34,700.57,97.36,1807.95
2,0.002,1,1.5496,157.49,175.14,24.94,700.57,99.74,1807.95
0.5,0.02,1,1.5712,420.55,175.14,24.33,700.57,97.33,1807.95
2,0.003,1,1.5736,156.44,175.14,25.52,700.57,102.10,1807.95
2,0.005,1,1.6195,156.53,175.14,26.68,700.57,106.72,1807.95
1,0.02,1,1.6784,162.76,175.14,27.48,700.57,109.93,1807.95
2,0.01,1,1.7233,157.68,175.14,29.43,700.57,117.74,1807.95
2,0.02,1,1.8967,158.83,175.14,34.43,700.57,137.72,1807.95
0.01,0.05,1,2.0531,161.82,175.14,39.71,700.57,158.85,1807.95
0.05,0.05,1,2.0554,161.80,175.14,39.77,700.57,159.08,1807.95
0.1,0.05,1,2.0584,161.78,175.14,39.85,700.57,159.39,1807.95
0.2,0.05,1,2.0650,161.72,175.14,40.01,700.57,160.06,1807.95
0.5,0.05,1,2.0889,161.46,175.14,40.67,700.57,162.69,1807.95
1,0.05,1,2.1386,160.79,175.14,42.20,700.57,168.80,1807.95
2,0.05,1,2.2546,158.89,175.14,46.31,700.57,185.24,1807.95
