filterType,params,variance,latency,rawThresh,filtThresh,peakRaw,peakFilt
oneeuro,mc=0.001 β=0.00001 dc=0.5,0.0757,158.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.00001 dc=1,0.0816,116.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.0001 dc=0.5,0.4818,21.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.0001 dc=1,0.5134,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.0005 dc=0.5,1.2845,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.0005 dc=1,1.2924,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.001 dc=0.5,1.6061,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.001 dc=1,1.5713,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.003 dc=0.5,1.7995,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.003 dc=1,1.6879,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.005 dc=0.5,1.7644,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.005 dc=1,1.6456,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.01 dc=0.5,1.6962,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.01 dc=1,1.6276,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.05 dc=0.5,1.8120,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.001 β=0.05 dc=1,1.9323,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.00001 dc=0.5,0.1480,147.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.00001 dc=1,0.1536,111.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.0001 dc=0.5,0.5315,20.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.0001 dc=1,0.5614,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.0005 dc=0.5,1.2988,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.0005 dc=1,1.3063,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.001 dc=0.5,1.6098,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.001 dc=1,1.5749,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.003 dc=0.5,1.7966,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.003 dc=1,1.6862,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.005 dc=0.5,1.7618,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.005 dc=1,1.6444,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.01 dc=0.5,1.6950,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.01 dc=1,1.6272,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.05 dc=0.5,1.8119,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.005 β=0.05 dc=1,1.9324,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.00001 dc=0.5,0.2339,137.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.00001 dc=1,0.2390,104.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.0001 dc=0.5,0.5910,19.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.0001 dc=1,0.6187,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.0005 dc=0.5,1.3160,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.0005 dc=1,1.3230,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.001 dc=0.5,1.6142,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.001 dc=1,1.5793,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.003 dc=0.5,1.7929,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.003 dc=1,1.6840,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.005 dc=0.5,1.7586,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.005 dc=1,1.6429,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.01 dc=0.5,1.6934,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.01 dc=1,1.6267,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.05 dc=0.5,1.8118,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.01 β=0.05 dc=1,1.9326,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.00001 dc=0.5,0.3914,124.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.00001 dc=1,0.3957,94.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.0001 dc=0.5,0.7013,17.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.0001 dc=1,0.7252,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.0005 dc=0.5,1.3487,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.0005 dc=1,1.3544,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.001 dc=0.5,1.6223,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.001 dc=1,1.5873,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.003 dc=0.5,1.7857,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.003 dc=1,1.6796,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.005 dc=0.5,1.7524,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.005 dc=1,1.6400,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.01 dc=0.5,1.6903,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.01 dc=1,1.6257,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.05 dc=0.5,1.8115,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.02 β=0.05 dc=1,1.9330,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.00001 dc=0.5,0.7672,90.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.00001 dc=1,0.7698,76.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.05 β=0.0001 dc=0.5,0.9716,9.00,0.00,0.00,315.12,315.12
